lottery,strategy_id,strategy_name,input_source,available_windows,replay_rows,distinct_target_draws,draw_range,max_bet_index,current_lifecycle_status,historical_snapshot_lifecycle_status,prize_aware,cross_lottery,m3_inferential_status,blocked_reason
BIG_LOTTO,bet2_fourier_expansion_biglotto,bet2_fourier_expansion_biglotto,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,102000011..115000054,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,biglotto_deviation_2bet,大樂透 Deviation 2注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1570,1550,99000056..115000053,2,ONLINE,ONLINE,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,biglotto_echo_aware_3bet,biglotto_echo_aware_3bet,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,4500,1500,102000012..115000055,3,RETIRED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,biglotto_triple_strike,大樂透 Triple Strike,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1570,1550,99000056..115000053,2,ONLINE,ONLINE,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,biglotto_ts3_acb_4bet,大樂透 TS3+ACB 4注,P250A inventory,,0,0,,,REJECTED,REJECTED,FULL,NO,NOT_READY,NO_REPLAY_ROWS
BIG_LOTTO,biglotto_ts3_markov_4bet_w30,biglotto_ts3_markov_4bet_w30,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,6000,1500,102000012..115000055,4,RETIRED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,biglotto_ts3_markov_freq_5bet,大樂透 TS3+Markov 頻率正交 5注,P250A inventory,,0,0,,,REJECTED,REJECTED,FULL,NO,NOT_READY,NO_REPLAY_ROWS
BIG_LOTTO,cold_complement_biglotto,cold_complement_biglotto,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,102000011..115000054,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,coldpool15_biglotto,coldpool15_biglotto,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,102000011..115000054,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,fourier30_markov30_biglotto,fourier30_markov30_biglotto,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,102000011..115000054,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,markov_2bet_biglotto,markov_2bet_biglotto,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,102000011..115000054,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,markov_single_biglotto,markov_single_biglotto,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,102000011..115000054,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
BIG_LOTTO,ts3_regime_3bet,大樂透 TS3+Regime 3注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,102000010..115000053,1,ONLINE,ONLINE,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,539_3bet_orthogonal,539_3bet_orthogonal,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,acb_1bet,今彩539 ACB 1注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,RETIRED,RETIRED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,acb_markov_midfreq,今彩539 ACB+Markov 中頻,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,RETIRED,RETIRED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,acb_markov_midfreq_3bet,今彩539 ACB+Markov 中頻 3注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,4500,1500,110000190..115000121,3,RETIRED,RETIRED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,acb_single_539,acb_single_539,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,daily539_f4cold,今彩539 F4 Cold,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1590,1550,99000212..115000121,3,ONLINE,ONLINE,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,daily539_f4cold_3bet,daily539_f4cold_3bet,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,4500,1500,110000190..115000121,3,RETIRED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,daily539_f4cold_5bet,daily539_f4cold_5bet,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,7500,1500,110000190..115000121,5,RETIRED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,daily539_markov_cold,今彩539 Markov Cold,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1590,1550,99000212..115000121,3,ONLINE,ONLINE,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,markov_1bet_539,markov_1bet_539,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,REJECTED,LIFECYCLE_UNRESOLVED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,midfreq_acb_2bet,今彩539 中頻 ACB 2注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,RETIRED,RETIRED,FULL,NO,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
DAILY_539,midfreq_fourier_2bet,今彩539 中頻 Fourier 2注,DB strategy_prediction_replays; P250A inventory; P267C M3+ artifact; P273A frozen cell,100|150|500|1500,1500,1500,110000190..115000121,1,RETIRED,RETIRED,FULL,YES,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,
