lottery_type,window,combination_size,strategy_ids,ticket_budget_m,rows_per_draw,ticket_budget_ratio_vs_min,ticket_budget_ratio_vs_median,sample_size_rows,cross_strategy_ticket_pair_count,any_number_overlap_pair_rate,mean_number_overlap_fraction,random_pair_overlap_fraction,exact_duplicate_ticket_pair_rate,delta_vs_max_constituent_hit1_rate,delta_vs_max_constituent_hit2_rate,delta_vs_max_constituent_hit3_rate,budget_inflation_flag,high_overlap_vs_random_flag
BIG_LOTTO,recent_50,1,bet2_fourier_expansion_biglotto,1,1.000000,1.000000,0.333333,50,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_300,1,bet2_fourier_expansion_biglotto,1,1.000000,1.000000,0.333333,300,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_750,1,bet2_fourier_expansion_biglotto,1,1.000000,1.000000,0.333333,750,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_50,1,biglotto_deviation_2bet,1,1.000000,1.000000,0.333333,50,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_300,1,biglotto_deviation_2bet,1,1.000000,1.000000,0.333333,300,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_750,1,biglotto_deviation_2bet,1,1.000000,1.000000,0.333333,750,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_50,1,biglotto_echo_aware_3bet,3,3.000000,3.000000,1.000000,150,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_300,1,biglotto_echo_aware_3bet,3,3.000000,3.000000,1.000000,900,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_750,1,biglotto_echo_aware_3bet,3,3.000000,3.000000,1.000000,2250,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_50,1,biglotto_triple_strike,1,1.000000,1.000000,0.333333,50,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_300,1,biglotto_triple_strike,1,1.000000,1.000000,0.333333,300,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_750,1,biglotto_triple_strike,1,1.000000,1.000000,0.333333,750,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_50,1,biglotto_ts3_markov_4bet_w30,4,4.000000,4.000000,1.333333,200,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,Y,
BIG_LOTTO,recent_300,1,biglotto_ts3_markov_4bet_w30,4,4.000000,4.000000,1.333333,1200,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,Y,
BIG_LOTTO,recent_750,1,biglotto_ts3_markov_4bet_w30,4,4.000000,4.000000,1.333333,3000,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,Y,
BIG_LOTTO,recent_50,1,cold_complement_biglotto,1,1.000000,1.000000,0.333333,50,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
BIG_LOTTO,recent_300,1,cold_complement_biglotto,1,1.000000,1.000000,0.333333,300,0,,,0.122448979592,,0.000000000000,0.000000000000,0.000000000000,N,
