strategy_id,lineage_id,game,bet_count,current_status,executable_status,implementation_kind,source_paths,git_first_seen_commit,git_last_seen_commit,current_exists,callable_entrypoint,parameter_source,implementation_signature_hash,notes,skip_reason,db_sources,evidence_level
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto__current,BIG_LOTTO,3,UNKNOWN,MISSING_CODE,json,docs/replay/p30_reconstructible_candidacy_evaluation_20260521.md;docs/replay/p35_wave2_candidate_planning_20260523.md;docs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.md;outputs/replay/p1_catalog_visibility_plan_20260519.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.md;outputs/replay/p24_full_strategy_universe_inventory_20260521.json;outputs/replay/p26_non_online_strategy_state_labels_20260521.json;outputs/replay/p2_full_catalog_visibility_plan_20260520.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json;outputs/replay/p30_reconstructible_candidacy_evaluation_20260521.json;outputs/replay/p35_wave2_candidate_planning_20260523.json;outputs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.json;outputs/replay/p6_catalog_apply_plan_v1_20260520.json;outputs/research/p262a_replay_strategy_coverage_audit_20260609.json;rejected/README.md;rejected/acb_hot_fourier_3bet_biglotto.json,UNKNOWN,UNKNOWN,False,,,24ed2f65a528e486859e28165b5e78247c2bdfbdbcc534bf94d74c74fd7b54b7,,MISSING_CODE: rejected artifact evidence without callable entrypoint.,[],[Inferred]
bet2_fourier_expansion_biglotto,bet2_fourier_expansion_biglotto__p42_p280_frozen_code,BIG_LOTTO,UNKNOWN,REJECTED,ID_REUSED,python,analysis/p273a_prize_aware_inferential_validation.py;analysis/p280d_big649_future_only_protocol.py;analysis/p333_strategy_pick_combination_scoreboard.py;docs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.md;docs/replay/p113_p112_action_decision_matrix_20260527.md;docs/replay/p114_temporal_stability_audit_20260527.md;docs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.md;docs/replay/p2_prediction_helpfulness_audit_20260526.md;docs/replay/p30_reconstructible_candidacy_evaluation_20260521.md;docs/replay/p35_wave2_candidate_planning_20260523.md;docs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.md;docs/replay/p42_wave3_biglotto_dryrun_rehearsal_20260524.md;docs/replay/p43_wave3_biglotto_production_apply_20260523.md;docs/replay/p44_wave3_biglotto_performance_analysis_20260523.md;docs/replay/p45_roadmap_update_after_p44_20260524.md;docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p69_all_strategy_dry_run_batch_plan_20260526.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;docs/replay/p94a_biglotto_all_strategy_betcount_benchmark_20260526.md;lottery_api/models/p42_wave3_biglotto_adapters.py;lottery_api/models/replay_strategy_registry.py;outputs/replay/p112_cross_lottery_prediction_helpfulness_audit_20260527.json;outputs/replay/p113_p112_action_decision_matrix_20260527.json;outputs/replay/p114_temporal_stability_audit_20260527.json;outputs/replay/p124_multi_bet_truth_and_coverage_matrix_20260528.json;outputs/replay/p125_adapter_gap_plan_from_p124_20260528.json;outputs/replay/p1_catalog_visibility_plan_20260519.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p1_strategy_lifecycle_inventory_20260511.md;outputs/replay/p24_full_strategy_universe_inventory_20260521.json;outputs/replay/p26_non_online_strategy_state_labels_20260521.json;outputs/replay/p2_full_catalog_visibility_plan_20260520.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json;outputs/replay/p2_prediction_helpfulness_audit_20260526.json;outputs/replay/p30_reconstructible_candidacy_evaluation_20260521.json;outputs/replay/p35_wave2_candidate_planning_20260523.json;outputs/replay/p41_wave3_biglotto_adapter_bootstrap_planning_20260524.json;outputs/replay/p42_temp_rehearsal_20260524.json;outputs/replay/p42_wave3_biglotto_dryrun_rehearsal_20260524.json;outputs/replay/p43_wave3_biglotto_production_apply_20260523.json;tools/big649_no_db_strategy_output_adapter.py,58a147cdb2a0aead62603c6e16ea5f2c7c1ddd0c,58a147cdb2a0aead62603c6e16ea5f2c7c1ddd0c,True,lottery_api.models.p42_wave3_biglotto_adapters.predict_fourier_expansion_bet1,tools/big649_no_db_strategy_output_adapter.py:_SPECS kwargs={},59d41ff17b8063aa814b05eb3de93688c90c4474621e191c5b76ffe2191f5c43,[Confirmed] current registry entry: 大樂透 Bet2 Fourier Expansion | [Confirmed] frozen BIG 6/49 no-DB adapter spec | [Confirmed] DB strategy evidence from immutable read-only introspection | [Confirmed] ID reused/split: current P42/P280 frozen code differs from rejected JSON rationale lineage,ID_REUSED: lineage split required; replay not run.,"[{""column"": ""strategy_id"", ""count"": 1500, ""earliest_available_timestamp_or_period"": ""2013/02/05"", ""game"": [""BIG_LOTTO""], ""latest_available_timestamp_or_period"": ""2026/05/19"", ""status"": [""PREDICTED""], ""table"": ""strategy_prediction_replays""}]",[Confirmed]
bet2_fourier_expansion_biglotto,bet2_fourier_expansion_biglotto__rejected_json_historical,BIG_LOTTO,2,REJECTED,ID_REUSED,json,rejected/bet2_fourier_expansion_biglotto.json,8da5d4c3d5761e48c128cc4644d4d3f3f4f324b8,8da5d4c3d5761e48c128cc4644d4d3f3f4f324b8,False,,rejected/bet2_fourier_expansion_biglotto.json,20df41ca40096cd996f5bfac210e4bfdde4a865f9f42085b4482db24f7e71139,[Confirmed] rejected artifact describes Fourier expansion replacement/zone-filter lineage | [Confirmed] split from later P42/P280 frozen code lineage sharing same strategy_id,ID_REUSED: rejected artifact lineage is not executable as current code.,"[{""column"": ""strategy_id"", ""count"": 1500, ""earliest_available_timestamp_or_period"": ""2013/02/05"", ""game"": [""BIG_LOTTO""], ""latest_available_timestamp_or_period"": ""2026/05/19"", ""status"": [""PREDICTED""], ""table"": ""strategy_prediction_replays""}]",[Confirmed]
big649_one_shot_publication_runner,big649_one_shot_publication_runner__current,BIG_LOTTO,UNKNOWN,UNKNOWN,UNKNOWN,mixed,outputs/research/p280x_big649_one_shot_publication_runner_design_20260619.json;tests/test_p280x_big649_one_shot_publication_runner.py,UNKNOWN,UNKNOWN,True,,,3f9e926f63b476a2a2f8c1705212c872408d7f3a60aa4b328bf632eb0bc843c8,,UNKNOWN: source mention found but callable entrypoint not established.,[],[Inferred]
big_lotto_m3plus_standalone_inference,big_lotto_m3plus_standalone_inference__current,BIG_LOTTO,UNKNOWN,UNKNOWN,UNKNOWN,mixed,analysis/p277a_historical_observation_status_reclassification.py;outputs/research/p277a_historical_observation_status_reclassification_20260617.json;outputs/research/p277a_historical_observation_status_reclassification_20260617.md,UNKNOWN,UNKNOWN,True,,,5eb84dc215b8f29946fe14b4629273a368ba3f383f5bbce55855560f212b6666,,UNKNOWN: source mention found but callable entrypoint not established.,[],[Inferred]
biglotto-triple,biglotto-triple__current,BIG_LOTTO,UNKNOWN,UNKNOWN,UNKNOWN,python,tests/test_p300a_d5_artifact_backed_ui.py,UNKNOWN,UNKNOWN,True,,,deb665b101fc45906ad84266c515720d321eb4484443fd6fef7e37980b5506be,,UNKNOWN: source mention found but callable entrypoint not established.,[],[Inferred]
biglotto_2bet_deviation_complement,biglotto_2bet_deviation_complement__current,BIG_LOTTO,2,UNKNOWN,DOC_ONLY,doc_only,docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,UNKNOWN,UNKNOWN,False,,,0b3071f4b6e9df5e87cc7e4bbcbbe34476be705783115b0d55fa0399a096dba5,,DOC_ONLY: mentioned only in docs/evidence/report artifacts.,[],[Inferred]
biglotto_2bet_fourier_rhythm,biglotto_2bet_fourier_rhythm__current,BIG_LOTTO,2,UNKNOWN,DOC_ONLY,doc_only,docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,UNKNOWN,UNKNOWN,False,,,a05d7c6511981b63b95315d796e42ccd18da3618ce0428597e7ceea6cf1aaa1b,,DOC_ONLY: mentioned only in docs/evidence/report artifacts.,[],[Inferred]
biglotto_3bet_triple_strike_v2,biglotto_3bet_triple_strike_v2__current,BIG_LOTTO,3,UNKNOWN,DOC_ONLY,doc_only,docs/replay/p68_all_strategy_executability_inventory_scan_20260526.md;docs/replay/p91_all_strategy_replay_expansion_inventory_20260526.md;outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,UNKNOWN,UNKNOWN,False,,,72e1398993bf0352e7563d38b766c177f4621e5481ed57afed63a791730bf746,,DOC_ONLY: mentioned only in docs/evidence/report artifacts.,[],[Inferred]
biglotto_4bet_ts3_markov_w30,biglotto_4bet_ts3_markov_w30__current,BIG_LOTTO,4,UNKNOWN,DOC_ONLY,doc_only,outputs/replay/p91_all_strategy_replay_expansion_inventory_20260526.json,UNKNOWN,UNKNOWN,False,,,1f4b3151cc4559ca31f82b2d0b3f2876852893f939d03142b4b4e388500d52d0,,DOC_ONLY: mentioned only in docs/evidence/report artifacts.,[],[Inferred]
