strategy_id,game,fixture_size,replay_window,replay_period_index,total_periods,history_start_draw,history_end_draw,prediction_rows,predictions_json,output_valid,no_db_access_proof,notes
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,1,21,P357E-SYN539-0000,P357E-SYN539-0499,3,"[[4,22,27,36,37],[9,13,15,25,26],[7,14,28,32,38]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,1,21,P357E-SYN539-0000,P357E-SYN539-0499,3,"[[4,22,27,36,37],[9,13,15,25,26],[11,14,18,31,35]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,2,21,P357E-SYN539-0001,P357E-SYN539-0500,3,"[[4,6,11,13,37],[9,15,25,26,27],[16,28,31,32,38]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,2,21,P357E-SYN539-0001,P357E-SYN539-0500,3,"[[4,6,11,13,37],[9,15,25,26,27],[14,16,22,31,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,3,21,P357E-SYN539-0002,P357E-SYN539-0501,3,"[[11,14,17,29,30],[9,15,25,26,27],[6,10,18,31,38]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,3,21,P357E-SYN539-0002,P357E-SYN539-0501,3,"[[11,14,17,29,30],[9,15,25,26,27],[13,18,22,31,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,4,21,P357E-SYN539-0003,P357E-SYN539-0502,3,"[[14,17,29,30,35],[15,22,25,26,27],[8,10,18,24,31]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,4,21,P357E-SYN539-0003,P357E-SYN539-0502,3,"[[14,17,29,30,35],[15,22,25,26,27],[9,11,13,31,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0b_539_3bet_f_cold_fmid,DAILY_539,520,500,5,21,P357E-SYN539-0004,P357E-SYN539-0503,3,"[[13,14,30,32,35],[15,22,25,26,27],[8,10,18,31,38]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
p0c_539_3bet_f_cold_x2,DAILY_539,520,500,5,21,P357E-SYN539-0004,P357E-SYN539-0503,3,"[[13,14,30,32,35],[15,22,25,26,27],[9,11,18,31,36]]",True,"in-memory fixture only; harness imports no sqlite3, DatabaseManager, registry, or status module",prediction rows only; no future outcome scoring; no production registry connection
