period,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,cohort_hit_count,cohort_any_hit,fixture_sha256
100000103,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
100000104,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000001,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000002,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000003,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000004,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000005,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000006,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000007,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000008,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000009,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000010,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000011,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000012,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000013,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000014,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000015,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000016,0,1,1,1,1,4,1,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000017,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000018,1,1,1,1,1,5,1,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000019,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000020,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000021,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
101000022,0,0,0,0,0,0,0,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
