context_size,context_adapters,candidate_adapter,prior_any_hit_count,candidate_total_hit_count,candidate_overlap_count,marginal_unique_hit_count,with_candidate_any_hit_count,marginal_coverage_rate_delta,candidate_marginal_share,fixture_sha256
0,,adapt_biglotto_p0_2bet,0,73,0,73,73,0.04508956,1.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
0,,adapt_predict_biglotto_echo_2bet,0,71,0,71,71,0.04385423,1.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
0,,adapt_predict_biglotto_echo_mixed_3bet,0,104,0,104,104,0.06423718,1.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
0,,adapt_predict_biglotto_echo_phase2_2bet,0,67,0,67,67,0.04138357,1.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
0,,adapt_predict_biglotto_echo_phase2_3bet,0,96,0,96,96,0.05929586,1.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_2bet,adapt_biglotto_p0_2bet,71,73,9,64,135,0.03953057,0.87671233,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_mixed_3bet,adapt_biglotto_p0_2bet,104,73,9,64,168,0.03953057,0.87671233,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_phase2_2bet,adapt_biglotto_p0_2bet,67,73,10,63,130,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_phase2_3bet,adapt_biglotto_p0_2bet,96,73,10,63,159,0.03891291,0.86301370,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_2bet,73,71,9,62,135,0.03829524,0.87323944,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet,104,71,71,0,104,0.00000000,0.00000000,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_2bet,67,71,64,7,74,0.00432366,0.09859155,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_2bet,96,71,64,7,103,0.00432366,0.09859155,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_mixed_3bet,73,104,9,95,168,0.05867820,0.91346154,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_mixed_3bet,71,104,71,33,104,0.02038295,0.31730769,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_mixed_3bet,67,104,64,40,107,0.02470661,0.38461538,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet,96,104,92,12,108,0.00741198,0.11538462,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_phase2_2bet,73,67,10,57,130,0.03520692,0.85074627,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
