subset_size,rank_within_subset_size,best_subset_for_size,adapter_subset,period_count,any_hit_count,coverage_rate,total_adapter_hit_events,duplicate_hit_events,multi_adapter_hit_period_count,single_adapter_hit_period_count,mean_pairwise_jaccard,max_pairwise_jaccard,fixture_sha256
1,1,true,adapt_predict_biglotto_echo_mixed_3bet,1619,104,0.06423718,104,0,0,104,,,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,2,false,adapt_predict_biglotto_echo_phase2_3bet,1619,96,0.05929586,96,0,0,96,,,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,3,false,adapt_biglotto_p0_2bet,1619,73,0.04508956,73,0,0,73,,,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,4,false,adapt_predict_biglotto_echo_2bet,1619,71,0.04385423,71,0,0,71,,,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,5,false,adapt_predict_biglotto_echo_phase2_2bet,1619,67,0.04138357,67,0,0,67,,,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,1,true,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,1619,168,0.10376776,177,9,9,159,0.05357143,0.05357143,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,2,false,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet,1619,159,0.09820877,169,10,10,149,0.06289308,0.06289308,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,3,false,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet,1619,135,0.08338481,144,9,9,126,0.06666667,0.06666667,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,4,false,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet,1619,130,0.08029648,140,10,10,120,0.07692308,0.07692308,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,5,false,adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,1619,108,0.06670784,200,92,92,16,0.85185185,0.85185185,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,6,false,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,1619,107,0.06609018,171,64,64,43,0.59813084,0.59813084,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,7,false,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,1619,104,0.06423718,175,71,71,33,0.68269231,0.68269231,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,8,false,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,1619,103,0.06361952,167,64,64,39,0.62135922,0.62135922,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,9,false,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,1619,96,0.05929586,163,67,67,29,0.69791667,0.69791667,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,10,false,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,1619,74,0.04570723,138,64,64,10,0.86486486,0.86486486,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
