row_type,window_size,subset_size,adapter_subset,total_ticket_count,any_hit_count,full_cohort_any_hit_count,hit_gap_to_full_cohort,coverage_rate,duplicate_hit_events,mean_pairwise_jaccard,within_1_hit_of_full_cohort,within_3_hits_of_full_cohort,note,fixture_sha256
best_subset_for_size,30,1,adapt_predict_biglotto_echo_mixed_3bet,3,2,2,0,0.06666667,0,,true,true,Best historical coverage among subsets of size 1.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,30,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,2,2,0,0.06666667,0,0.00000000,true,true,Best historical coverage among subsets of size 2.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,30,3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,7,2,2,0,0.06666667,1,0.16666667,true,true,Best historical coverage among subsets of size 3.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,30,4,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,9,2,2,0,0.06666667,2,0.33333333,true,true,Best historical coverage among subsets of size 4.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,30,5,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,12,2,2,0,0.06666667,4,0.40000000,true,true,Best historical coverage among subsets of size 5.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_1_hit_of_full_cohort,30,1,adapt_predict_biglotto_echo_mixed_3bet,3,2,2,0,0.06666667,0,,true,true,Smallest subset within 1 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_3_hit_of_full_cohort,30,1,adapt_predict_biglotto_echo_mixed_3bet,3,2,2,0,0.06666667,0,,true,true,Smallest subset within 3 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
p361_compact_pair_check,30,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,2,2,0,0.06666667,0,0.00000000,true,true,P361 compact pair remains within 3 hits of full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,150,1,adapt_predict_biglotto_echo_mixed_3bet,3,11,15,4,0.07333333,0,,false,false,Best historical coverage among subsets of size 1.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,150,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,15,15,0,0.10000000,0,0.00000000,true,true,Best historical coverage among subsets of size 2.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,150,3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,7,15,15,0,0.10000000,6,0.18181818,true,true,Best historical coverage among subsets of size 3.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,150,4,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,9,15,15,0,0.10000000,12,0.34848485,true,true,Best historical coverage among subsets of size 4.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,150,5,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,12,15,15,0,0.10000000,23,0.41818182,true,true,Best historical coverage among subsets of size 5.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_1_hit_of_full_cohort,150,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,15,15,0,0.10000000,0,0.00000000,true,true,Smallest subset within 1 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_3_hit_of_full_cohort,150,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,15,15,0,0.10000000,0,0.00000000,true,true,Smallest subset within 3 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
p361_compact_pair_check,150,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,15,15,0,0.10000000,0,0.00000000,true,true,P361 compact pair remains within 3 hits of full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,750,1,adapt_predict_biglotto_echo_mixed_3bet,3,52,86,34,0.06933333,0,,false,false,Best historical coverage among subsets of size 1.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,750,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,85,86,1,0.11333333,3,0.03529412,true,true,Best historical coverage among subsets of size 2.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,750,3,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,8,86,86,0,0.11466667,53,0.33813488,true,true,Best historical coverage among subsets of size 3.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,750,4,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,10,86,86,0,0.11466667,89,0.40934549,true,true,Best historical coverage among subsets of size 4.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
best_subset_for_size,750,5,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,12,86,86,0,0.11466667,125,0.48977412,true,true,Best historical coverage among subsets of size 5.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_1_hit_of_full_cohort,750,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,85,86,1,0.11333333,3,0.03529412,true,true,Smallest subset within 1 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
smallest_within_3_hit_of_full_cohort,750,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,85,86,1,0.11333333,3,0.03529412,true,true,Smallest subset within 3 any-hit period(s) of the full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
p361_compact_pair_check,750,2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,85,86,1,0.11333333,3,0.03529412,true,true,P361 compact pair remains within 3 hits of full cohort.,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
