adapter_subset,subset_size,average_rank_by_coverage_rate,rank_variance_by_coverage_rate,average_rank_by_any_hit_count,rank_variance_by_any_hit_count,top_1_window_count,top_3_window_count,within_3_hits_of_full_cohort_window_count,windows_evaluated,fixture_sha256
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,2,4.0000,5.0000,4.0000,5.0000,1,2,4,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,3,6.2500,37.6875,6.2500,37.6875,2,2,4,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,3,6.5000,5.2500,6.5000,5.2500,0,1,4,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet,2,6.5000,13.2500,6.5000,13.2500,0,1,3,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,3,7.0000,6.0000,7.0000,6.0000,0,0,4,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,3,8.2500,6.1875,8.2500,6.1875,0,0,3,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,4,9.0000,57.5000,9.0000,57.5000,0,2,4,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,4,9.5000,64.2500,9.5000,64.2500,0,2,4,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,4,9.7500,18.1875,9.7500,18.1875,0,0,4,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,3,10.2500,6.1875,10.2500,6.1875,0,0,3,4,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
