subset_size,adapter_subset,total_ticket_count,window_size,period_count,any_hit_count,coverage_rate,duplicate_hit_events,mean_pairwise_jaccard,same_total_bet_count_baseline,edge_vs_same_total_bet_baseline,rank_by_coverage_rate,rank_by_any_hit_count,within_1_hit_of_full_cohort,within_3_hits_of_full_cohort,fixture_sha256
1,adapt_biglotto_p0_2bet,2,30,30,0,0.00000000,0,,0.03692764,-0.03692764,31,31,false,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_2bet,2,30,30,1,0.03333333,0,,0.03692764,-0.00359431,25,25,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_phase2_2bet,2,30,30,1,0.03333333,0,,0.03692764,-0.00359431,26,26,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_phase2_3bet,3,30,30,2,0.06666667,0,,0.05487690,0.01178976,2,2,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
1,adapt_predict_biglotto_echo_mixed_3bet,3,30,30,2,0.06666667,0,,0.05487690,0.01178976,1,1,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet,4,30,30,1,0.03333333,0,0.00000000,0.07249164,-0.03915830,27,27,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet,4,30,30,1,0.03333333,0,0.00000000,0.07249164,-0.03915830,28,28,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet,5,30,30,2,0.06666667,0,0.00000000,0.08977807,-0.02311141,4,4,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,5,30,30,2,0.06666667,0,0.00000000,0.08977807,-0.02311141,3,3,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
2,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,4,30,30,1,0.03333333,1,1.00000000,0.07249164,-0.03915830,29,29,true,true,f4accb6f527694e739689242c929e87e4b031a364becb4fadb4aaea50ef2e3f8
