artifact_role,source_task,path,file_type,data_row_count,line_count,sha256,manifest_expected_key,manifest_expected_value,row_count_matches_manifest
p360_results,P360,artifacts/P360_biglotto_no_db_multiwindow_validation_results.csv,csv,20,21,60b1cb5affed752fe3a174f588b65a1470354d7dd4b9a63e7d2e43c5779e2d88,adapter_count*window_count,20,true
p360_manifest,P360,artifacts/P360_biglotto_no_db_multiwindow_validation_manifest.csv,csv,19,20,9a9488c16a149a867ee6f87ef2b540efd3c08c27085497cfe7793b9c3c15485f,,,
p360_coverage,P360,artifacts/P360_biglotto_no_db_multiwindow_validation_coverage.csv,csv,20,21,0e3b850de155242d66b84d4f57b62947ac46093d6f0c66f84eb577be84ee3332,pairwise+unique+cohort_windows,20,true
p360_report,P360,artifacts/P360_biglotto_no_db_multiwindow_validation_report.md,md,,109,0a19264a77804916c7369bfaac1061c74f4f054cd5cd360e35ff5f307fd93f08,,,
p361_subset_metrics,P361,artifacts/P361_biglotto_coverage_utility_subset_metrics.csv,csv,31,32,a9b12b21c8bb2f9fab9a3326735542668c03c40d652ebb5ceb79e2d9966c30b7,subset_metric_rows,31,true
p361_marginal_contribution,P361,artifacts/P361_biglotto_coverage_utility_marginal_contribution.csv,csv,80,81,86afebac0d4a904bd483cb06251418772a0f86747d98b0e5c2130ed4b9bdb86a,marginal_contribution_rows,80,true
p361_hit_matrix,P361,artifacts/P361_biglotto_coverage_utility_hit_matrix.csv,csv,1619,1620,0afac099dfdfd7f23dd5b2c0ab605bba6ee280463a44c634670eafe1388cd99f,hit_matrix_rows,1619,true
p361_manifest,P361,artifacts/P361_biglotto_coverage_utility_manifest.csv,csv,22,23,be425759df5f3d11ae6a2f9276942446725083b48857a622a4b6fad88a5d35e6,,,
p361_report,P361,artifacts/P361_biglotto_coverage_utility_report.md,md,,56,20e2c4bfb9174b2ad8dc6326dd36f8b5ca6ec6dbd8730b6348f67d107b9fe599,,,
p362_window_metrics,P362,artifacts/P362_biglotto_subset_stability_window_metrics.csv,csv,124,125,71046f2e786fbcb295deb82c70e4f43275b508c27635af37bb5c863e57d05907,window_metric_rows,124,true
p362_rank_summary,P362,artifacts/P362_biglotto_subset_stability_rank_summary.csv,csv,31,32,05b79a4e6fe8e869f14424f2a90b435a5db1e48dfa822a43194900a9ca425553,rank_summary_rows,31,true
p362_compact_candidates,P362,artifacts/P362_biglotto_subset_stability_compact_candidates.csv,csv,32,33,97f043ab4fc9b45f862f4ee18fdc33ccf0a20b3be1db32de0fd4b4b6d84b0271,compact_candidate_rows,32,true
p362_manifest,P362,artifacts/P362_biglotto_subset_stability_manifest.csv,csv,31,32,bb0425633c421083f94a92863bdbf89f8bf4abcb03a71f151bc6e8a8a2c7360b,,,
p362_report,P362,artifacts/P362_biglotto_subset_stability_report.md,md,,92,a1c6a834c5cead91e2f3f98a68032d433770e29300d26d924c3af8771864edee,,,
