display_rank,adapter_a,adapter_b,adapter_pair,p363_pair_subset,subset_size,p361_period_count,p361_pair_any_hit_count,p361_pair_coverage_rate,p361_pair_duplicate_hit_events,p361_pair_mean_pairwise_jaccard,p362_windows_evaluated,p362_average_rank_by_coverage_rate,p362_top_3_window_count,p362_within_3_hits_window_count,redundancy_scope,caveat
1,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_2bet,adapt_biglotto_p0_2bet | adapt_predict_biglotto_echo_2bet,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_2bet,2,1619,135,0.08338481,9,0.06666667,4,19.7500,0,1,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
2,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_mixed_3bet,adapt_biglotto_p0_2bet | adapt_predict_biglotto_echo_mixed_3bet,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_mixed_3bet,2,1619,168,0.10376776,9,0.05357143,4,4.0000,2,4,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
3,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_phase2_2bet,adapt_biglotto_p0_2bet | adapt_predict_biglotto_echo_phase2_2bet,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_2bet,2,1619,130,0.08029648,10,0.07692308,4,20.7500,0,1,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
4,adapt_biglotto_p0_2bet,adapt_predict_biglotto_echo_phase2_3bet,adapt_biglotto_p0_2bet | adapt_predict_biglotto_echo_phase2_3bet,adapt_biglotto_p0_2bet;adapt_predict_biglotto_echo_phase2_3bet,2,1619,159,0.09820877,10,0.06289308,4,6.5000,1,3,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
5,adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet | adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_mixed_3bet,2,1619,104,0.06423718,71,0.68269231,4,16.0000,0,1,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
6,adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_2bet | adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_2bet,2,1619,74,0.04570723,64,0.86486486,4,29.7500,0,1,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
7,adapt_predict_biglotto_echo_2bet,adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_2bet | adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_2bet;adapt_predict_biglotto_echo_phase2_3bet,2,1619,103,0.06361952,64,0.62135922,4,17.7500,0,1,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
8,adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_mixed_3bet | adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_mixed_3bet,2,1619,107,0.06609018,64,0.59813084,4,16.5000,0,1,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
9,adapt_predict_biglotto_echo_mixed_3bet,adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_mixed_3bet | adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_phase2_3bet;adapt_predict_biglotto_echo_mixed_3bet,2,1619,108,0.06670784,92,0.85185185,4,16.0000,0,1,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
10,adapt_predict_biglotto_echo_phase2_2bet,adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_phase2_2bet | adapt_predict_biglotto_echo_phase2_3bet,adapt_predict_biglotto_echo_phase2_2bet;adapt_predict_biglotto_echo_phase2_3bet,2,1619,96,0.05929586,67,0.69791667,4,19.7500,0,1,Pairwise overlap fields are inherited from P363/P364 subset-size-2 evidence.,Historical descriptive comparison only; no new scoring or recommendation.
