artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,details
source,P367_biglotto_evidence_api_contract,artifacts/P367_biglotto_evidence_api_contract.json,3a4c2b7c50029b8085f33c9edc0dd80b56ef41e2f13111401ddd4476395ff509,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_examples,artifacts/P367_biglotto_evidence_api_examples.json,34b22c276e050fa9f11ae930f37e228ee8de10cd72aeb9ce454811f3adbe7915,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_validation,artifacts/P367_biglotto_evidence_api_validation.csv,f362dfe281c931ebed204b22edb719dfb8ad591c0b95378ca6837c3beaea80a5,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_manifest,artifacts/P367_biglotto_evidence_api_manifest.csv,b950756440d42017aa474c61b567dbd565e390e688d031860d04b62377283de2,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_readme,artifacts/P367_biglotto_evidence_api_readme.md,63de70e989097b9a371048bd7f2c0bc2262581a3cdd1f1ec15251f0a0c70c39c,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P366_biglotto_evidence_release_bundle_manifest,artifacts/P366_biglotto_evidence_release_bundle_manifest.json,a493d2b3fd2082d3c3a81106acf3e3f1bc9269f0301a9060e8292423b28313f3,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P366_biglotto_evidence_release_bundle_inventory,artifacts/P366_biglotto_evidence_release_bundle_inventory.csv,18cca3e2f898790c24a7c92a30844e95189ab6d3f0365784d0385b2321d32460,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P366_biglotto_evidence_release_bundle_smoke_results,artifacts/P366_biglotto_evidence_release_bundle_smoke_results.csv,9933ad916425af69f5f319a2a7b9792c1b2e05d370980a7a8f5c67df175d159b,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P366_biglotto_evidence_release_bundle_cli_examples,artifacts/P366_biglotto_evidence_release_bundle_cli_examples.json,340c3a3fb23bea5fc96bdf457763290db0e849f73e9a63c4dd127d8ebf02c8f3,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P366_biglotto_evidence_release_bundle_landing,artifacts/P366_biglotto_evidence_release_bundle_landing.html,1c58c1046eb891134f5c1b0ae83194c4296471c6bb4bcfaebaea6476bfdb00f6,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,P366_biglotto_evidence_release_bundle_readme,artifacts/P366_biglotto_evidence_release_bundle_readme.md,033377fee5f1a075e25fb1b7474292aab0b1ee3b7f408327de222f707f47189f,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,no_db_evidence_api,recovered_strategies/biglotto/no_db_evidence_api.py,3a9c119a11cba8ee348934f0f1c43b88fc78e54d259219c0937685d83cced0c7,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,no_db_evidence_release_bundle,recovered_strategies/biglotto/no_db_evidence_release_bundle.py,d2e1ece20eb693625e25fcb858f6c5353aadbc6a74f114a624f963ab4565a06f,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,test_p367_biglotto_evidence_api,tests/test_p367_biglotto_evidence_api.py,218d4c3482b573e241aebf679cef7000947da0ae4c7afd84c4e1a93047e777cc,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
source,test_p366_biglotto_evidence_release_bundle,tests/test_p366_biglotto_evidence_release_bundle.py,3c0d6d365a74bebeaa72f4f64bc82e8c2eb3f9e20dd325e6392cdda212f9eb53,,,YES,YES,YES,P368 source evidence read without DB open/write or adapter execution.
output,golden_snapshots,artifacts/P368_biglotto_evidence_api_golden_snapshots.json,e2d18dacfe5ecdbb2c4bdca6dc721b642312b34dd2ca193ab56300d63af6d0d5,,1,YES,YES,YES,P368 generated artifact from committed P366/P367 evidence.
output,compatibility_matrix,artifacts/P368_biglotto_evidence_api_compatibility_matrix.csv,e3cea9338589972798d58b3adfee7bf97c8d93d8b555c5eff7a4b391198efd4e,9,,YES,YES,YES,P368 generated artifact from committed P366/P367 evidence.
output,contract_drift,artifacts/P368_biglotto_evidence_api_contract_drift.csv,7070d22662f6640671f93fc40d837fb8ff5d7dff1671efb951459054efa97eb0,27,,YES,YES,YES,P368 generated artifact from committed P366/P367 evidence.
output,cli_transcripts,artifacts/P368_biglotto_evidence_api_cli_transcripts.json,9f6fec7b3459360528f4d8a3a651ba8bddf3b21d34138c838ef4ea532a08216e,,1,YES,YES,YES,P368 generated artifact from committed P366/P367 evidence.
output,manifest,artifacts/P368_biglotto_evidence_api_manifest.csv,SELF_SHA256_OMITTED_RECURSIVE_ARTIFACT,23,,YES,YES,YES,P368 generated artifact from committed P366/P367 evidence.
output,readme,artifacts/P368_biglotto_evidence_api_readme.md,d00fef22cd03d243f8562a907520c264e997c18891181c9c1b4175717edab263,,,YES,YES,YES,P368 generated artifact from committed P366/P367 evidence.
statement,scope,,,,,YES,YES,YES,Historical descriptive evidence only; no future prediction guarantee; no betting advice; no DB open/write; no production registry import; no deploy; no adapter calls; no new scoring cohort; no blended leaderboard; shape-only and blocked targets remain excluded.
statement,determinism,,,,,YES,YES,YES,P368 artifact generation performs deterministic double-run equality before write.
