artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,details
source,no_db_evidence_api,recovered_strategies/biglotto/no_db_evidence_api.py,3a9c119a11cba8ee348934f0f1c43b88fc78e54d259219c0937685d83cced0c7,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,no_db_evidence_api_snapshots,recovered_strategies/biglotto/no_db_evidence_api_snapshots.py,3869b70b362abc1b1399334bf0f00d4d274114b14e45b502ce69990f4d4d755e,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,no_db_evidence_release_bundle,recovered_strategies/biglotto/no_db_evidence_release_bundle.py,d2e1ece20eb693625e25fcb858f6c5353aadbc6a74f114a624f963ab4565a06f,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_contract,artifacts/P367_biglotto_evidence_api_contract.json,3a4c2b7c50029b8085f33c9edc0dd80b56ef41e2f13111401ddd4476395ff509,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_examples,artifacts/P367_biglotto_evidence_api_examples.json,34b22c276e050fa9f11ae930f37e228ee8de10cd72aeb9ce454811f3adbe7915,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_validation,artifacts/P367_biglotto_evidence_api_validation.csv,f362dfe281c931ebed204b22edb719dfb8ad591c0b95378ca6837c3beaea80a5,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_manifest,artifacts/P367_biglotto_evidence_api_manifest.csv,b950756440d42017aa474c61b567dbd565e390e688d031860d04b62377283de2,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P367_biglotto_evidence_api_readme,artifacts/P367_biglotto_evidence_api_readme.md,63de70e989097b9a371048bd7f2c0bc2262581a3cdd1f1ec15251f0a0c70c39c,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_golden_snapshots,artifacts/P368_biglotto_evidence_api_golden_snapshots.json,e2d18dacfe5ecdbb2c4bdca6dc721b642312b34dd2ca193ab56300d63af6d0d5,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_compatibility_matrix,artifacts/P368_biglotto_evidence_api_compatibility_matrix.csv,e3cea9338589972798d58b3adfee7bf97c8d93d8b555c5eff7a4b391198efd4e,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_contract_drift,artifacts/P368_biglotto_evidence_api_contract_drift.csv,7070d22662f6640671f93fc40d837fb8ff5d7dff1671efb951459054efa97eb0,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_cli_transcripts,artifacts/P368_biglotto_evidence_api_cli_transcripts.json,9f6fec7b3459360528f4d8a3a651ba8bddf3b21d34138c838ef4ea532a08216e,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_manifest,artifacts/P368_biglotto_evidence_api_manifest.csv,c3c1075236aeec19c701646807805e0072851c9e2fe1af92ee5419c458ff6c61,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_readme,artifacts/P368_biglotto_evidence_api_readme.md,d00fef22cd03d243f8562a907520c264e997c18891181c9c1b4175717edab263,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,test_p368_biglotto_evidence_api_snapshots,tests/test_p368_biglotto_evidence_api_snapshots.py,8017ad0ad80ea95a376ac5d250a4612b38cba21cd84cbe4d14222f52801dcdfb,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
source,test_p367_biglotto_evidence_api,tests/test_p367_biglotto_evidence_api.py,218d4c3482b573e241aebf679cef7000947da0ae4c7afd84c4e1a93047e777cc,,,YES,YES,YES,P369 source evidence read without DB open/write or adapter execution.
output,summary,artifacts/P369_biglotto_evidence_agent_pack_summary.json,a49a7d4a5c3845c40e32c2a531da2f7b5ceb3dce4727853930459382a8d79542,,1,YES,YES,YES,P369 generated agent handoff pack artifact.
output,task_prompts,artifacts/P369_biglotto_evidence_agent_pack_task_prompts.json,d2499b640ae2909f07ab33f6c6728619bd3c4c44780e53c6dafa3b640a02ef96,,1,YES,YES,YES,P369 generated agent handoff pack artifact.
output,query_recipes,artifacts/P369_biglotto_evidence_agent_pack_query_recipes.json,9fe1ef83b1e8cddbc97941f4f517f7715181262a0900f304284fac497d469123,,1,YES,YES,YES,P369 generated agent handoff pack artifact.
output,validation_checklist,artifacts/P369_biglotto_evidence_agent_pack_validation_checklist.csv,6b1caede3fe2227fb5a3d444aed4f4331e7885449a8900ad55252e880e6d2f34,13,,YES,YES,YES,P369 generated agent handoff pack artifact.
output,examples,artifacts/P369_biglotto_evidence_agent_pack_examples.md,32e4a75d4e1737eee9fa3a66bfca5b9414581eb8a3ec5431b4fcca3ce16bd5ff,52,,YES,YES,YES,P369 generated agent handoff pack artifact.
output,manifest,artifacts/P369_biglotto_evidence_agent_pack_manifest.csv,SELF_SHA256_OMITTED_RECURSIVE_ARTIFACT,24,,YES,YES,YES,P369 generated agent handoff pack artifact.
statement,scope,,,,,YES,YES,YES,Historical descriptive evidence only; no future prediction guarantee; no betting advice; no DB open/write; no production registry import; no deploy; no adapter calls; no new scoring cohort; no blended leaderboard; shape-only and blocked targets remain excluded.
statement,determinism,,,,,YES,YES,YES,P369 artifact generation performs deterministic double-run equality before write.
