artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,details
source,no_db_evidence_agent_pack,recovered_strategies/biglotto/no_db_evidence_agent_pack.py,63e5878bf4f932f353689d479a90af7c896723c0a028a8cedfbb0f9a02c9f454,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,no_db_evidence_api,recovered_strategies/biglotto/no_db_evidence_api.py,3a9c119a11cba8ee348934f0f1c43b88fc78e54d259219c0937685d83cced0c7,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,no_db_evidence_api_snapshots,recovered_strategies/biglotto/no_db_evidence_api_snapshots.py,3869b70b362abc1b1399334bf0f00d4d274114b14e45b502ce69990f4d4d755e,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P369_biglotto_evidence_agent_pack_summary,artifacts/P369_biglotto_evidence_agent_pack_summary.json,a49a7d4a5c3845c40e32c2a531da2f7b5ceb3dce4727853930459382a8d79542,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P369_biglotto_evidence_agent_pack_task_prompts,artifacts/P369_biglotto_evidence_agent_pack_task_prompts.json,d2499b640ae2909f07ab33f6c6728619bd3c4c44780e53c6dafa3b640a02ef96,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P369_biglotto_evidence_agent_pack_query_recipes,artifacts/P369_biglotto_evidence_agent_pack_query_recipes.json,9fe1ef83b1e8cddbc97941f4f517f7715181262a0900f304284fac497d469123,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P369_biglotto_evidence_agent_pack_validation_checklist,artifacts/P369_biglotto_evidence_agent_pack_validation_checklist.csv,6b1caede3fe2227fb5a3d444aed4f4331e7885449a8900ad55252e880e6d2f34,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P369_biglotto_evidence_agent_pack_examples,artifacts/P369_biglotto_evidence_agent_pack_examples.md,32e4a75d4e1737eee9fa3a66bfca5b9414581eb8a3ec5431b4fcca3ce16bd5ff,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P369_biglotto_evidence_agent_pack_manifest,artifacts/P369_biglotto_evidence_agent_pack_manifest.csv,4dcf30e0a9b740eb8373a7986e7f85c5873f34525522cae1733e7ef65c906b97,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_golden_snapshots,artifacts/P368_biglotto_evidence_api_golden_snapshots.json,e2d18dacfe5ecdbb2c4bdca6dc721b642312b34dd2ca193ab56300d63af6d0d5,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_compatibility_matrix,artifacts/P368_biglotto_evidence_api_compatibility_matrix.csv,e3cea9338589972798d58b3adfee7bf97c8d93d8b555c5eff7a4b391198efd4e,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_contract_drift,artifacts/P368_biglotto_evidence_api_contract_drift.csv,7070d22662f6640671f93fc40d837fb8ff5d7dff1671efb951459054efa97eb0,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_cli_transcripts,artifacts/P368_biglotto_evidence_api_cli_transcripts.json,9f6fec7b3459360528f4d8a3a651ba8bddf3b21d34138c838ef4ea532a08216e,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
source,P368_biglotto_evidence_api_manifest,artifacts/P368_biglotto_evidence_api_manifest.csv,c3c1075236aeec19c701646807805e0072851c9e2fe1af92ee5419c458ff6c61,,,YES,YES,YES,P370 source evidence read without DB open/write or adapter execution.
