artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,no_deploy,details,scope_statement
source,no_db_evidence_command_center,recovered_strategies/biglotto/no_db_evidence_command_center.py,0f7de06b5b20ea764afa3027ab90ddcbe2901403814cd28d9305229b1095fd41,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,P371_biglotto_command_center_index,artifacts/P371_biglotto_command_center_index.json,f1bf524acedfea30f75cf19709ef0869aced16095b44dc75ee747a5fff234b9f,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,P371_biglotto_command_center_routes,artifacts/P371_biglotto_command_center_routes.csv,08c9f5cedf92268d9dbfb6740e1827dd86ec11414f5e44ebe18c9e553f7fe104,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,P371_biglotto_command_center_status,artifacts/P371_biglotto_command_center_status.json,37597330481efd3e2e762bfbd361e9a912d40b03e2f24e798b1fd4e5260c26c7,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,P371_biglotto_command_center_smoke_results,artifacts/P371_biglotto_command_center_smoke_results.csv,fe31a743c888af2ba300abe0589c2baff72040a30c4c8e9d02dd8fa6c92f1f08,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,P371_biglotto_command_center_task_cards,artifacts/P371_biglotto_command_center_task_cards.json,c87132e3727a367fe14301905b4f43590b08399d67736741257d0a2ac3120720,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,P371_biglotto_command_center_launchpad,artifacts/P371_biglotto_command_center_launchpad.html,00dec1483f17ba9fc42de4fde3bdbdbc0bb18f5acb9dcac93cb461e856de536d,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,P371_biglotto_command_center_quickstart,artifacts/P371_biglotto_command_center_quickstart.md,f2cf31fb5c57d363d380355d10eceecede9d5cc4596d080d40354b4581cf1fd7,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,P371_biglotto_command_center_manifest,artifacts/P371_biglotto_command_center_manifest.csv,114096125d7a973efe255664550031639d0b6876ff2d5949b319f9a309143760,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
source,test_p371_biglotto_evidence_command_center,tests/test_p371_biglotto_evidence_command_center.py,371f4a7713504f5e6e41aae046fb50d3958ca715054f6f0687fe514abc90498f,,,YES,YES,YES,YES,P372 source evidence read from merged P371 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No production registry import. No deploy. No new scoring cohort. No blended leaderboard.
