artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,details,scope_statement
source,no_db_evidence_command_center,recovered_strategies/biglotto/no_db_evidence_command_center.py,0f7de06b5b20ea764afa3027ab90ddcbe2901403814cd28d9305229b1095fd41,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,no_db_command_center_route_replay,recovered_strategies/biglotto/no_db_command_center_route_replay.py,15467be027a8a9edad39c21c19a0cd6c90c4c20da555ce22cf8511eb693e5f88,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P371_biglotto_command_center_index,artifacts/P371_biglotto_command_center_index.json,f1bf524acedfea30f75cf19709ef0869aced16095b44dc75ee747a5fff234b9f,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P371_biglotto_command_center_routes,artifacts/P371_biglotto_command_center_routes.csv,08c9f5cedf92268d9dbfb6740e1827dd86ec11414f5e44ebe18c9e553f7fe104,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P371_biglotto_command_center_status,artifacts/P371_biglotto_command_center_status.json,37597330481efd3e2e762bfbd361e9a912d40b03e2f24e798b1fd4e5260c26c7,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P371_biglotto_command_center_smoke_results,artifacts/P371_biglotto_command_center_smoke_results.csv,fe31a743c888af2ba300abe0589c2baff72040a30c4c8e9d02dd8fa6c92f1f08,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P371_biglotto_command_center_task_cards,artifacts/P371_biglotto_command_center_task_cards.json,c87132e3727a367fe14301905b4f43590b08399d67736741257d0a2ac3120720,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P371_biglotto_command_center_launchpad,artifacts/P371_biglotto_command_center_launchpad.html,00dec1483f17ba9fc42de4fde3bdbdbc0bb18f5acb9dcac93cb461e856de536d,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P371_biglotto_command_center_quickstart,artifacts/P371_biglotto_command_center_quickstart.md,f2cf31fb5c57d363d380355d10eceecede9d5cc4596d080d40354b4581cf1fd7,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P371_biglotto_command_center_manifest,artifacts/P371_biglotto_command_center_manifest.csv,114096125d7a973efe255664550031639d0b6876ff2d5949b319f9a309143760,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P372_biglotto_command_center_route_transcripts,artifacts/P372_biglotto_command_center_route_transcripts.json,c6150cc091520ed258bc4ab10dbf63654dff9ad9eaf1c1a402a9ad630b861af3,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P372_biglotto_command_center_route_health,artifacts/P372_biglotto_command_center_route_health.csv,554870db1600c55b7041898b5df9082ed40d5509e8933493a3d983d925ebe9cb,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P372_biglotto_command_center_route_coverage,artifacts/P372_biglotto_command_center_route_coverage.csv,04322aae46ef9f67c8bf67f8394bf15d1a947af1e09c8dcbe365264b2a0b45fb,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P372_biglotto_command_center_failure_taxonomy,artifacts/P372_biglotto_command_center_failure_taxonomy.csv,59552aab968bf21fc1dd21715fb09faf31d0c411e49d25d92a6f7f49ecfb6865,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P372_biglotto_command_center_smoke_bundle,artifacts/P372_biglotto_command_center_smoke_bundle.json,90d5d7d3899bfa388682859e35fa7fe9f75bab445e1e187cbd23aa7883175fa8,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,P372_biglotto_command_center_manifest,artifacts/P372_biglotto_command_center_manifest.csv,a0d55f3cec173b5c157613273dbc086efe97b4c9946d48662e394ccd4cca4b2e,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,test_p371_biglotto_evidence_command_center,tests/test_p371_biglotto_evidence_command_center.py,371f4a7713504f5e6e41aae046fb50d3958ca715054f6f0687fe514abc90498f,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
source,test_p372_biglotto_command_center_route_replay,tests/test_p372_biglotto_command_center_route_replay.py,e8da656070bdf43a0436f764b1aa39596998d25248d5f31926a7d620d6970d59,,,YES,YES,YES,P373 source evidence read from merged P371/P372 command-center artifacts only.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
output,operator_status,artifacts/P373_biglotto_command_center_operator_status.json,7192d74f45ec6e979a5c3c98313b43d1e219e1a675bb112b53426e5d55a9ce82,,1,YES,YES,YES,P373 generated no-DB operator-console artifact.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
output,operator_badges,artifacts/P373_biglotto_command_center_operator_badges.json,a820a08a5db18afeb81035f5a6dbcabc2a98367c8697c9e65c87c2c8b573fa22,,1,YES,YES,YES,P373 generated no-DB operator-console artifact.,"Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. Operator action cards are templates, not standing authorization."
