artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,no_deploy,details,scope_statement
source,module,recovered_strategies/biglotto/no_db_command_center_regression_runner.py,244609d4779cc9b03c2d764df20504a8a7a2cf30f8f959ca251ffa9946b9ad84,,,YES,YES,YES,YES,P378 source evidence read from merged P377 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
source,results,artifacts/P377_biglotto_command_center_regression_results.json,d942491e194bca420e10e79a41711410e7d20ca5b59ab2621b9dc1ede54c3d5f,,,YES,YES,YES,YES,P378 source evidence read from merged P377 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
source,commands,artifacts/P377_biglotto_command_center_regression_commands.csv,992143bb909c115bc41ffa758867086ea08c834374b8b8b1ad5b9fd7752b3dcd,,,YES,YES,YES,YES,P378 source evidence read from merged P377 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
source,failures,artifacts/P377_biglotto_command_center_regression_failures.csv,84ce4b84ae641d99518c65b4117fe25a1fdf0db3b9feb9e7a4987bc1967e0e3f,,,YES,YES,YES,YES,P378 source evidence read from merged P377 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
source,freshness,artifacts/P377_biglotto_command_center_regression_artifact_freshness.csv,1c6784a8046f2cddb7a03435f0321451aca3280ebd9acc9e9570c3ffee40284a,,,YES,YES,YES,YES,P378 source evidence read from merged P377 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
source,report,artifacts/P377_biglotto_command_center_regression_report.html,7e8e8cc7dc1df4f3a010f80e5f35895d152085d2fa6bd01d6721d7cb715bb6c7,,,YES,YES,YES,YES,P378 source evidence read from merged P377 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
source,manifest,artifacts/P377_biglotto_command_center_regression_manifest.csv,43f803c4d4b46542cba9be5891f4b56cdfd5b963bccb8a773de2e118397a862b,,,YES,YES,YES,YES,P378 source evidence read from merged P377 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
output,index,artifacts/P378_biglotto_regression_run_archive_index.json,fcb5ff754847a9b8c9c9b27acc34ac09852354e5d4036126acabd087bd183ece,,json_keys=11,YES,YES,YES,YES,P378 generated no-DB regression run archive artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
output,snapshot,artifacts/P378_biglotto_regression_run_archive_snapshot.json,3395e74096b0175a9beeee6479627c82d20dd040d4ef95a8e1480409dd06be27,,json_keys=14,YES,YES,YES,YES,P378 generated no-DB regression run archive artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
output,comparison,artifacts/P378_biglotto_regression_run_archive_comparison.json,385e676bd914a82f8cb84de50429badee7aad0c5c22c4f0e0c976e350771e32b,,json_keys=11,YES,YES,YES,YES,P378 generated no-DB regression run archive artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
output,command_delta,artifacts/P378_biglotto_regression_run_archive_command_delta.csv,2642a0bf3e967a998401ca18ae4b6da0cf576c1161d0b4d5f5c5e0fe0baeab44,6,,YES,YES,YES,YES,P378 generated no-DB regression run archive artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
output,freshness_delta,artifacts/P378_biglotto_regression_run_archive_freshness_delta.csv,a4d5689dcffcb20556b5a1d1443457b742bff6389ea37a904619572f0f629b26,50,,YES,YES,YES,YES,P378 generated no-DB regression run archive artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
output,report,artifacts/P378_biglotto_regression_run_archive_report.html,ba52bbe17d7e51fc5ac313f32bce25154e7901f841eb92c53bc56b87a240e34b,,1,YES,YES,YES,YES,P378 generated no-DB regression run archive artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
output,manifest,artifacts/P378_biglotto_regression_run_archive_manifest.csv,SELF_SHA256_OMITTED_RECURSIVE_ARTIFACT,18,,YES,YES,YES,YES,P378 generated no-DB regression run archive artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
statement,no_db_open_write,,,,,YES,YES,YES,YES,No DB open/write was performed by P378.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
statement,no_adapter_calls,,,,,YES,YES,YES,YES,No adapter calls were performed by P378.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P378 reads only merged P377 regression artifacts and writes only P378-prefixed archive artifacts.
