artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,no_deploy,details,scope_statement
source,module,recovered_strategies/biglotto/no_db_regression_run_archive.py,0c1c251034a68bbc36ee3d2f5a8d2bb04c6087d65d3d3c2211e925149d7ba9e7,,text_lines=712,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
source,index,artifacts/P378_biglotto_regression_run_archive_index.json,fcb5ff754847a9b8c9c9b27acc34ac09852354e5d4036126acabd087bd183ece,,json_keys=11,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
source,snapshot,artifacts/P378_biglotto_regression_run_archive_snapshot.json,3395e74096b0175a9beeee6479627c82d20dd040d4ef95a8e1480409dd06be27,,json_keys=14,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
source,comparison,artifacts/P378_biglotto_regression_run_archive_comparison.json,385e676bd914a82f8cb84de50429badee7aad0c5c22c4f0e0c976e350771e32b,,json_keys=11,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
source,command_delta,artifacts/P378_biglotto_regression_run_archive_command_delta.csv,2642a0bf3e967a998401ca18ae4b6da0cf576c1161d0b4d5f5c5e0fe0baeab44,,csv_rows=6,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
source,freshness_delta,artifacts/P378_biglotto_regression_run_archive_freshness_delta.csv,a4d5689dcffcb20556b5a1d1443457b742bff6389ea37a904619572f0f629b26,,csv_rows=50,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
source,report,artifacts/P378_biglotto_regression_run_archive_report.html,ba52bbe17d7e51fc5ac313f32bce25154e7901f841eb92c53bc56b87a240e34b,,text_lines=281,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
source,manifest,artifacts/P378_biglotto_regression_run_archive_manifest.csv,2631a28a87fe856bdf79f09c8ece6fd26f03034a162ff91f91149e8bc81ddb72,,csv_rows=18,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
source,tests,tests/test_p378_biglotto_regression_run_archive.py,80ed9ceb5956a7fdfc673b07bfbe2ad3707525286fe759df0f7312dc9f533a93,,text_lines=271,YES,YES,YES,YES,P379 source evidence read from committed P378 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
output,index,artifacts/P379_biglotto_regression_archive_explorer_index.json,e549f39076af8ae5dc10f602353177733017b460c44dabce652236311ebd2bf6,,json_keys=10,YES,YES,YES,YES,P379 generated no-DB regression archive explorer artifact.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. Not production release approval. P379 reads only committed P378 regression archive artifacts and writes only P379-prefixed explorer artifacts.
