query_id,artifact_path,source_stage,exists,sha256,row_or_object_count,freshness_status,related_delta,notes
all_artifacts,recovered_strategies/biglotto/no_db_command_center_regression_runner.py,P377,YES,244609d4779cc9b03c2d764df20504a8a7a2cf30f8f959ca251ffa9946b9ad84,text_lines=821,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P377_biglotto_command_center_regression_results.json,P377,YES,d942491e194bca420e10e79a41711410e7d20ca5b59ab2621b9dc1ede54c3d5f,json_keys=13,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P377_biglotto_command_center_regression_commands.csv,P377,YES,992143bb909c115bc41ffa758867086ea08c834374b8b8b1ad5b9fd7752b3dcd,csv_rows=6,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P377_biglotto_command_center_regression_failures.csv,P377,YES,84ce4b84ae641d99518c65b4117fe25a1fdf0db3b9feb9e7a4987bc1967e0e3f,csv_rows=1,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P377_biglotto_command_center_regression_artifact_freshness.csv,P377,YES,1c6784a8046f2cddb7a03435f0321451aca3280ebd9acc9e9570c3ffee40284a,csv_rows=50,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P377_biglotto_command_center_regression_report.html,P377,YES,7e8e8cc7dc1df4f3a010f80e5f35895d152085d2fa6bd01d6721d7cb715bb6c7,text_lines=88,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P377_biglotto_command_center_regression_manifest.csv,P377,YES,43f803c4d4b46542cba9be5891f4b56cdfd5b963bccb8a773de2e118397a862b,csv_rows=60,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,recovered_strategies/biglotto/no_db_regression_run_archive.py,P378,YES,0c1c251034a68bbc36ee3d2f5a8d2bb04c6087d65d3d3c2211e925149d7ba9e7,text_lines=712,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P378_biglotto_regression_run_archive_index.json,P378,YES,fcb5ff754847a9b8c9c9b27acc34ac09852354e5d4036126acabd087bd183ece,json_keys=11,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P378_biglotto_regression_run_archive_snapshot.json,P378,YES,3395e74096b0175a9beeee6479627c82d20dd040d4ef95a8e1480409dd06be27,json_keys=14,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
all_artifacts,artifacts/P378_biglotto_regression_run_archive_comparison.json,P378,YES,385e676bd914a82f8cb84de50429badee7aad0c5c22c4f0e0c976e350771e32b,json_keys=11,ARCHIVED_SOURCE,SOURCE_INVENTORY,Committed P377/P378/P379 evidence artifact read-only; no DB open/write.
