artifact_group,artifact_role,path,source_sha256,output_row_count,output_object_count,no_db_open_write,no_adapter_calls,no_new_scoring,no_deploy,details,scope_statement
source,p380_module,recovered_strategies/biglotto/no_db_regression_archive_query.py,84e7d795e6687ca341e81f31e18c9977dbb81cb078fd65cd1ff6858aa1511b1c,,text_lines=1061,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p380_index,artifacts/P380_biglotto_regression_archive_query_index.json,bb82932043197c22facc46014fb148911916fbbe1548df1c4ed149a154d69645,,json_keys=14,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p380_recipes,artifacts/P380_biglotto_regression_archive_query_recipes.json,51e259ac3329a06ddd369ff6d4cf361f4a424eda655b7de9aee8f26f4eb6ef4b,,json_keys=6,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p380_command_results,artifacts/P380_biglotto_regression_archive_query_command_results.csv,93749034d862407080b0facf651303a95e92b97d71531e5c47a8613db26eabe6,,csv_rows=7,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p380_artifact_results,artifacts/P380_biglotto_regression_archive_query_artifact_results.csv,4293e5ab631d086eb30e82fd94b3683b86662b7f9bcdd5d65b3e7e45063ebe83,,csv_rows=25,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p380_delta_results,artifacts/P380_biglotto_regression_archive_query_delta_results.csv,26c4839377ac8267e6483a30358055aab8cefd12f0ceac8ae9f5f89080361106,,csv_rows=57,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p380_transcripts,artifacts/P380_biglotto_regression_archive_query_transcripts.json,9217204f926a00cfab28f7c4d3085d9dea36ec0d83367c1407161709dfecf2a6,,json_keys=8,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p380_guide,artifacts/P380_biglotto_regression_archive_query_guide.md,537d6d41e245140846548b50bcd9becbf64dabd98ade39b458f9a02cd4eaae10,,text_lines=67,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p380_manifest,artifacts/P380_biglotto_regression_archive_query_manifest.csv,59e65e7b249d192cdf14a21c3015d7265a9f8e21741165b43a90cbfe185a4600,,csv_rows=36,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p381_module,recovered_strategies/biglotto/no_db_regression_archive_answer_kit.py,6054da81d382f7671e90f0a8c2e75cee234c0f5848c19b169c2bea8d9e439983,,text_lines=1009,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
source,p381_index,artifacts/P381_biglotto_regression_archive_answer_kit_index.json,329c667de61e75797a9b3d423ee7323e343720a558124f000a2f0ebe4b963719,,json_keys=15,YES,YES,YES,YES,P382 source evidence read from committed P380/P381 artifacts only.,Historical descriptive evidence only. No future prediction guarantee. No betting advice. No DB open/write. No adapter calls. No new scoring. No new scoring cohort. No production registry import. No deploy. No generated DB rows. No strategy status changes. No blended leaderboard. No force operations. No external publication. Not production release approval. P382 reads only merged P380/P381 query and answer evidence and writes only P382-prefixed scenario runner artifacts.
