期數,日期,號碼1,號碼2,號碼3,號碼4,號碼5,號碼6,特別號
113000001,2024/01/02,4,14,18,21,36,38,01
113000002,2024/01/05,2,20,23,30,35,47,40
113000003,2024/01/09,12,29,31,37,44,49,03
113000004,2024/01/12,4,25,29,38,42,46,06
113000005,2024/01/16,1,3,20,21,36,40,44
113000006,2024/01/19,1,3,7,19,31,46,40
113000007,2024/01/23,2,14,17,26,27,47,04
113000008,2024/01/26,2,11,20,34,46,47,40
113000009,2024/01/30,7,19,30,38,40,45,27
113000010,2024/02/02,5,9,25,35,38,39,24
113000011,2024/02/06,14,19,23,26,34,40,05
113000012,2024/02/07,20,22,31,34,35,37,07
113000013,2024/02/08,5,8,25,31,39,47,22
113000014,2024/02/09,3,7,16,20,25,30,37
113000015,2024/02/10,5,6,11,13,28,34,04
113000016,2024/02/11,11,13,23,29,44,45,27
113000017,2024/02/12,16,22,37,46,47,49,04
113000018,2024/02/13,2,3,6,39,44,47,34
113000019,2024/02/14,7,12,19,26,32,39,44
113000020,2024/02/15,4,8,18,19,20,33,03
113000021,2024/02/16,19,24,33,42,43,45,16
113000022,2024/02/17,4,5,20,27,32,40,06
113000023,2024/02/18,6,12,24,32,36,44,45
113000024,2024/02/19,2,10,17,32,38,48,08
113000025,2024/02/20,6,8,17,27,34,46,25
113000026,2024/02/21,13,21,25,27,31,43,47
113000027,2024/02/22,9,11,18,31,39,46,05
113000028,2024/02/23,3,8,9,21,34,49,22
113000029,2024/02/24,8,15,21,27,46,48,31
113000030,2024/02/27,7,15,17,29,41,42,28
113000031,2024/03/01,1,29,30,39,46,47,17
113000032,2024/03/05,10,15,21,24,26,38,37
113000033,2024/03/08,7,26,27,29,36,40,32
113000034,2024/03/12,3,13,22,27,45,49,17
113000035,2024/03/15,8,18,33,37,40,43,31
113000036,2024/03/19,8,14,19,20,21,36,28
113000037,2024/03/22,4,16,38,40,41,48,35
113000038,2024/03/26,6,19,21,29,32,46,11
113000039,2024/03/29,2,3,13,15,43,48,01
113000040,2024/04/02,27,32,38,39,46,49,24
113000041,2024/04/05,4,31,35,38,40,48,18
113000042,2024/04/09,3,16,17,19,22,26,01
113000043,2024/04/12,3,5,12,15,17,39,24
113000044,2024/04/16,5,8,17,33,35,40,10
113000045,2024/04/19,7,10,16,22,31,46,42
113000046,2024/04/23,13,14,17,32,33,36,31
113000047,2024/04/26,13,21,22,26,33,34,35
113000048,2024/04/30,3,9,13,22,33,43,14
113000049,2024/05/03,6,11,12,22,34,39,42
113000050,2024/05/07,7,9,15,28,30,33,26
113000051,2024/05/10,15,19,30,35,38,41,25
113000052,2024/05/14,6,7,10,25,32,43,33
113000053,2024/05/17,15,33,34,40,41,49,27
113000054,2024/05/21,1,30,34,35,38,42,15
113000055,2024/05/24,4,23,24,28,30,40,41
113000056,2024/05/28,12,17,18,21,33,37,09
113000057,2024/05/31,8,14,16,19,23,32,49
113000058,2024/06/04,7,30,33,34,35,46,49
113000059,2024/06/07,19,24,29,36,37,43,17
113000060,2024/06/11,7,10,12,27,36,46,18
113000061,2024/06/14,1,7,9,18,36,47,32
113000062,2024/06/18,6,24,31,35,36,42,18
113000063,2024/06/21,2,17,31,42,44,46,10
113000064,2024/06/25,6,8,12,29,41,48,14
113000065,2024/06/28,10,11,25,31,36,41,27
113000066,2024/07/02,1,33,38,39,41,45,46
113000067,2024/07/05,2,11,20,25,37,49,42
113000068,2024/07/09,15,18,19,31,39,40,25
113000069,2024/07/12,2,13,19,33,46,49,23
113000070,2024/07/16,4,12,22,29,36,47,15
113000071,2024/07/19,11,13,25,28,33,40,31
113000072,2024/07/23,3,6,10,23,33,35,24
113000073,2024/07/26,6,19,23,35,41,46,08
113000074,2024/07/30,5,15,24,35,46,48,17
113000075,2024/08/02,2,4,5,15,20,33,25
113000076,2024/08/06,20,27,31,33,38,46,23
113000077,2024/08/09,14,20,27,42,44,47,40
113000078,2024/08/13,2,28,30,37,40,48,08
113000079,2024/08/16,4,6,14,31,44,45,01
113000080,2024/08/20,12,13,18,28,39,49,02
113000081,2024/08/23,16,20,32,34,37,43,17
113000082,2024/08/27,12,22,24,38,40,46,21
113000083,2024/08/30,2,17,25,29,32,38,24
113000084,2024/09/03,5,22,25,27,36,41,11
113000085,2024/09/06,9,15,17,38,45,49,47
113000086,2024/09/10,6,14,16,25,35,38,31
113000087,2024/09/13,13,17,26,39,43,48,03
113000088,2024/09/17,26,34,35,40,44,46,32
113000089,2024/09/20,4,8,18,30,35,49,11
113000090,2024/09/24,5,13,14,16,37,48,39
113000091,2024/09/27,2,3,5,21,45,49,47
113000092,2024/10/01,10,12,13,19,27,33,30
113000093,2024/10/04,12,17,19,27,38,42,40
113000094,2024/10/08,3,5,7,31,33,45,19
113000095,2024/10/11,7,9,12,21,26,32,27
113000096,2024/10/15,5,10,13,28,39,41,49
113000097,2024/10/18,14,20,26,43,45,49,07
113000098,2024/10/22,2,24,29,30,38,49,47
113000099,2024/10/25,7,19,25,35,36,38,42
113000100,2024/10/29,19,26,36,38,39,49,16
113000101,2024/11/01,6,10,23,27,34,47,22
113000102,2024/11/05,4,17,21,30,41,49,48
113000103,2024/11/08,1,11,42,46,47,49,07
113000104,2024/11/12,11,25,26,33,34,41,27
113000105,2024/11/15,24,25,30,36,41,43,21
113000106,2024/11/19,5,7,11,22,25,44,13
113000107,2024/11/22,14,16,22,33,36,48,03
113000108,2024/11/26,11,40,42,45,47,49,27
113000109,2024/11/29,13,20,28,32,38,49,46
113000110,2024/12/3,5,6,7,12,17,35,45
113000111,2024/12/6,9,15,18,33,44,47,28
113000112,2024/12/10,1,5,8,26,47,49,38
