期數,日期,號碼1,號碼2,號碼3,號碼4,號碼5,號碼6,特別號
113000001,2024-01-02,5,12,18,23,35,42,7
113000002,2024-01-05,3,15,22,28,36,44,11
113000003,2024-01-09,8,14,19,27,38,45,2
113000004,2024-01-12,1,9,17,25,33,41,13
113000005,2024-01-16,6,13,21,29,37,46,4
113000006,2024-01-19,2,11,20,26,34,43,16
113000007,2024-01-23,7,15,24,31,39,47,5
113000008,2024-01-26,4,10,18,28,35,42,9
113000009,2024-01-30,3,12,19,27,36,44,8
113000010,2024-02-02,5,14,22,30,38,45,1
113000011,2024-02-06,1,8,16,25,33,41,12
113000012,2024-02-09,6,13,21,29,37,46,3
113000013,2024-02-13,2,11,20,26,34,43,15
113000014,2024-02-16,7,15,24,31,39,47,4
113000015,2024-02-20,4,10,18,28,35,42,6
113000016,2024-02-23,3,12,19,27,36,44,9
113000017,2024-02-27,5,14,22,30,38,45,2
113000018,2024-03-01,1,8,16,25,33,41,11
113000019,2024-03-05,6,13,21,29,37,46,7
113000020,2024-03-08,2,11,20,26,34,43,14
