game,start_idx,end_idx,start_date,end_date,n_valid,active_rate_pct,shadow_rate_pct,active_baseline,shadow_baseline,active_edge_pp,shadow_edge_pp,active_minus_shadow,breach_threshold,threshold_breach
BIG_LOTTO,0,299,2007/01/02,2009/11/13,200,11.0,6.0,8.96,3.69,2.04,2.31,-0.27,0.5,0
BIG_LOTTO,100,399,2007/12/18,2010/10/29,300,10.0,4.3333,8.96,3.69,1.04,0.6433,0.3967,0.5,0
BIG_LOTTO,200,499,2008/12/02,2011/10/14,300,9.6667,3.3333,8.96,3.69,0.7067,-0.3567,1.0633,0.5,0
BIG_LOTTO,300,599,2009/11/17,2012/09/28,300,8.6667,3.0,8.96,3.69,-0.2933,-0.69,0.3967,0.5,1
BIG_LOTTO,400,699,2010/11/02,2013/09/03,300,9.3333,5.0,8.96,3.69,0.3733,1.31,-0.9367,0.5,1
BIG_LOTTO,500,799,2011/10/18,2014/08/05,300,9.6667,3.6667,8.96,3.69,0.7067,-0.0233,0.73,0.5,0
BIG_LOTTO,600,899,2012/10/02,2015/07/03,300,10.6667,4.0,8.96,3.69,1.7067,0.31,1.3967,0.5,0
BIG_LOTTO,700,999,2013/09/06,2016/05/27,300,12.3333,3.6667,8.96,3.69,3.3733,-0.0233,3.3967,0.5,0
BIG_LOTTO,800,1099,2014/08/08,2017/04/28,300,12.3333,5.0,8.96,3.69,3.3733,1.31,2.0633,0.5,0
BIG_LOTTO,900,1199,2015/07/07,2018/03/30,300,12.3333,4.3333,8.96,3.69,3.3733,0.6433,2.73,0.5,0
BIG_LOTTO,1000,1299,2016/05/31,2019/02/19,300,12.0,5.0,8.96,3.69,3.04,1.31,1.73,0.5,0
BIG_LOTTO,1100,1399,2017/05/02,2020/01/26,300,12.3333,5.6667,8.96,3.69,3.3733,1.9767,1.3967,0.5,0
BIG_LOTTO,1200,1499,2018/04/03,2020/12/22,300,11.6667,7.0,8.96,3.69,2.7067,3.31,-0.6033,0.5,0
BIG_LOTTO,1300,1599,2019/02/22,2021/11/05,300,11.0,5.3333,8.96,3.69,2.04,1.6433,0.3967,0.5,0
BIG_LOTTO,1400,1699,2020/01/27,2022/09/16,300,10.0,3.0,8.96,3.69,1.04,-0.69,1.73,0.5,0
BIG_LOTTO,1500,1799,2020/12/25,2023/07/21,300,11.6667,4.3333,8.96,3.69,2.7067,0.6433,2.0633,0.5,0
BIG_LOTTO,1600,1899,2021/11/09,2024/05/21,300,10.6667,5.0,8.96,3.69,1.7067,1.31,0.3967,0.5,0
BIG_LOTTO,1700,1999,2022/09/20,2025/03/18,300,12.6667,7.3333,8.96,3.69,3.7067,3.6433,0.0633,0.5,0
BIG_LOTTO,1800,2099,2023/07/25,2026/02/17,300,12.6667,5.6667,8.96,3.69,3.7067,1.9767,1.73,0.5,0
