feature,bucket,lo,hi,n_in_draws,n_total_draws,draw_rate,null_rate,rate_diff,chi2,raw_pval,bh_q,eligible
sum,sum_Q1,38,83,90,350,0.2571,0.2469,0.0103,0.1972,0.657,0.9975,False
sum,sum_Q2,84,99,89,350,0.2543,0.2407,0.0136,0.3548,0.5514,0.9975,False
sum,sum_Q3,100,114,86,350,0.2457,0.2327,0.013,0.3298,0.5658,0.9975,False
sum,sum_Q4,115,166,85,350,0.2429,0.2756,-0.0328,1.8767,0.1707,0.9975,False
odd_count,odd_0,0,0,4,350,0.0114,0.0197,-0.0082,0.8374,0.3601,0.9975,False
odd_count,odd_1,1,1,51,350,0.1457,0.137,0.0087,0.225,0.6352,0.9975,False
odd_count,odd_2,2,2,111,350,0.3171,0.3187,-0.0016,0.0039,0.9499,0.9975,False
odd_count,odd_3,3,3,121,350,0.3457,0.3388,0.0069,0.0736,0.7862,0.9975,False
odd_count,odd_4,4,4,54,350,0.1543,0.1586,-0.0043,0.0487,0.8254,0.9975,False
odd_count,odd_5,5,5,9,350,0.0257,0.0272,-0.0015,0.0295,0.8637,0.9975,False
span,span_T1,7,24,124,350,0.3543,0.3504,0.0039,0.0231,0.8791,0.9975,False
span,span_T2,25,30,110,350,0.3143,0.323,-0.0087,0.1214,0.7275,0.9975,False
span,span_T3,31,38,116,350,0.3314,0.3257,0.0057,0.0521,0.8194,0.9975,False
consecutive_count,consec_0,0,0,205,350,0.5857,0.5624,0.0233,0.769,0.3805,0.9975,False
consecutive_count,consec_2,2,2,131,350,0.3743,0.3987,-0.0244,0.8658,0.3521,0.9975,False
consecutive_count,consec_3,3,3,13,350,0.0371,0.0365,0.0006,0.0036,0.9522,0.9975,False
consecutive_count,consec_4plus,4,99,1,350,0.0029,0.0024,0.0005,0.0,1.0,1.0,False
ac_value,ac_T1,2,5,180,350,0.5143,0.5293,-0.015,0.316,0.574,0.9975,False
ac_value,ac_T2,6,6,170,350,0.4857,0.4692,0.0165,0.3815,0.5368,0.9975,False
zone_coverage,zone_1,1,1,3,350,0.0086,0.0064,0.0022,0.0325,0.857,0.9975,False
zone_coverage,zone_2,2,2,105,350,0.3,0.3291,-0.0291,1.3406,0.2469,0.9975,False
zone_coverage,zone_3,3,3,242,350,0.6914,0.6645,0.0269,1.1346,0.2868,0.9975,False
