start_idx,end_idx,start_date,end_date,n_valid,active_edge_pp,shadow_edge_pp,baseline_edge_pp,active_minus_shadow,threshold_breach
0,499,2007/01/01,2008/11/28,400,5.5,2.71,1.1,2.79,0
200,699,2007/10/08,2009/09/04,500,0.9,0.66,0.0,0.24,1
400,899,2008/07/14,2010/06/11,500,-0.1,0.06,-1.6,-0.16,1
600,1099,2009/04/20,2011/03/05,500,2.1,1.26,-1.8,0.84,0
800,1299,2010/01/25,2011/10/25,500,1.7,0.26,-1.4,1.44,1
1000,1499,2010/11/01,2012/06/14,500,3.9,1.46,-0.2,2.44,0
1200,1699,2011/07/01,2013/02/02,500,7.1,3.66,2.8,3.44,0
1400,1899,2012/02/20,2013/09/24,500,3.7,1.46,0.4,2.24,0
1600,2099,2012/10/10,2014/05/15,500,1.3,0.06,-0.4,1.24,1
1800,2299,2013/05/31,2015/01/03,500,1.9,-0.54,-1.4,2.44,1
2000,2499,2014/01/20,2015/08/25,500,0.9,-1.94,-1.0,2.84,1
2200,2699,2014/09/10,2016/04/14,500,1.9,1.06,0.0,0.84,1
2400,2899,2015/05/01,2016/12/03,500,2.1,1.86,0.6,0.24,0
2600,3099,2015/12/21,2017/07/25,500,3.1,2.26,0.6,0.84,0
2800,3299,2016/08/10,2018/03/15,500,1.9,1.46,1.4,0.44,1
3000,3499,2017/03/31,2018/11/03,500,2.1,2.26,2.2,-0.16,0
3200,3699,2017/11/20,2019/06/25,500,1.5,1.46,2.2,0.04,1
3400,3899,2018/07/11,2020/02/13,500,1.3,1.06,1.2,0.24,1
3600,4099,2019/03/01,2020/10/03,500,1.9,-0.14,-1.0,2.04,1
3800,4299,2019/10/21,2021/05/25,500,4.9,0.26,-0.6,4.64,0
4000,4499,2020/06/10,2022/01/13,500,7.1,2.66,2.6,4.44,0
4200,4699,2021/01/29,2022/09/03,500,7.7,3.66,2.8,4.04,0
4400,4899,2021/09/20,2023/04/25,500,10.3,6.46,3.0,3.84,0
4600,5099,2022/05/11,2023/12/14,500,7.9,5.06,3.0,2.84,0
4800,5299,2022/12/30,2024/08/03,500,3.5,3.26,2.8,0.24,0
5000,5499,2023/08/21,2025/03/21,500,3.1,4.26,3.0,-1.16,0
5200,5699,2024/04/10,2025/11/10,500,4.5,5.46,2.8,-0.96,0
