game,start_idx,end_idx,start_date,end_date,n_valid,active_rate_pct,shadow_rate_pct,active_baseline,shadow_baseline,active_edge_pp,shadow_edge_pp,active_minus_shadow,breach_threshold,threshold_breach
POWER_LOTTO,0,299,2008/01/24,2010/12/06,200,15.0,19.5,14.6,17.91,0.4,1.59,-1.19,1.0,1
POWER_LOTTO,100,399,2009/01/08,2011/11/21,300,14.6667,19.6667,14.6,17.91,0.0667,1.7567,-1.69,1.0,1
POWER_LOTTO,200,499,2009/12/24,2012/11/05,300,13.3333,19.3333,14.6,17.91,-1.2667,1.4233,-2.69,1.0,1
POWER_LOTTO,300,599,2010/12/09,2013/10/21,300,15.6667,21.0,14.6,17.91,1.0667,3.09,-2.0233,1.0,0
POWER_LOTTO,400,699,2011/11/24,2014/10/06,300,16.0,20.0,14.6,17.91,1.4,2.09,-0.69,1.0,0
POWER_LOTTO,500,799,2012/11/08,2015/09/21,300,18.3333,22.3333,14.6,17.91,3.7333,4.4233,-0.69,1.0,0
POWER_LOTTO,600,899,2013/10/24,2016/09/05,300,17.0,22.3333,14.6,17.91,2.4,4.4233,-2.0233,1.0,0
POWER_LOTTO,700,999,2014/10/09,2017/08/21,300,18.3333,24.3333,14.6,17.91,3.7333,6.4233,-2.69,1.0,0
POWER_LOTTO,800,1099,2015/09/24,2018/08/06,300,16.3333,22.0,14.6,17.91,1.7333,4.09,-2.3567,1.0,0
POWER_LOTTO,900,1199,2016/09/08,2019/07/22,300,19.6667,24.0,14.6,17.91,5.0667,6.09,-1.0233,1.0,0
POWER_LOTTO,1000,1299,2017/08/24,2020/07/06,300,18.3333,22.0,14.6,17.91,3.7333,4.09,-0.3567,1.0,0
POWER_LOTTO,1100,1399,2018/08/09,2021/06/21,300,19.6667,21.6667,14.6,17.91,5.0667,3.7567,1.31,1.0,0
POWER_LOTTO,1200,1499,2019/07/25,2022/06/06,300,19.0,20.3333,14.6,17.91,4.4,2.4233,1.9767,1.0,0
POWER_LOTTO,1300,1599,2020/07/09,2023/05/22,300,19.0,21.3333,14.6,17.91,4.4,3.4233,0.9767,1.0,0
POWER_LOTTO,1400,1699,2021/06/24,2024/05/06,300,18.3333,22.0,14.6,17.91,3.7333,4.09,-0.3567,1.0,0
POWER_LOTTO,1500,1799,2022/06/09,2025/04/21,300,15.3333,19.3333,14.6,17.91,0.7333,1.4233,-0.69,1.0,1
POWER_LOTTO,1600,1899,2023/05/25,2026/04/06,300,17.3333,21.0,14.6,17.91,2.7333,3.09,-0.3567,1.0,0
