t1,s1,c1,tp,fp,tn,fn,precision,recall
0.01,1,0.01,0,71,0,0,0.0,
0.01,1,0.0575,0,71,0,0,0.0,
0.01,1,0.105,0,71,0,0,0.0,
0.01,1,0.15250000000000002,0,71,0,0,0.0,
0.01,1,0.2,0,71,0,0,0.0,
0.01,2,0.01,0,71,0,0,0.0,
0.01,2,0.0575,0,71,0,0,0.0,
0.01,2,0.105,0,71,0,0,0.0,
0.01,2,0.15250000000000002,0,71,0,0,0.0,
0.01,2,0.2,0,71,0,0,0.0,
0.01,3,0.01,0,71,0,0,0.0,
0.01,3,0.0575,0,71,0,0,0.0,
0.01,3,0.105,0,71,0,0,0.0,
0.01,3,0.15250000000000002,0,71,0,0,0.0,
0.01,3,0.2,0,71,0,0,0.0,
0.01,4,0.01,0,71,0,0,0.0,
0.01,4,0.0575,0,71,0,0,0.0,
0.01,4,0.105,0,71,0,0,0.0,
0.01,4,0.15250000000000002,0,71,0,0,0.0,
0.01,4,0.2,0,71,0,0,0.0,
0.01,5,0.01,0,71,0,0,0.0,
0.01,5,0.0575,0,71,0,0,0.0,
0.01,5,0.105,0,71,0,0,0.0,
0.01,5,0.15250000000000002,0,71,0,0,0.0,
0.01,5,0.2,0,71,0,0,0.0,
0.01,6,0.01,0,71,0,0,0.0,
0.01,6,0.0575,0,71,0,0,0.0,
0.01,6,0.105,0,71,0,0,0.0,
0.01,6,0.15250000000000002,0,71,0,0,0.0,
0.01,6,0.2,0,71,0,0,0.0,
0.01,7,0.01,0,71,0,0,0.0,
0.01,7,0.0575,0,71,0,0,0.0,
0.01,7,0.105,0,71,0,0,0.0,
0.01,7,0.15250000000000002,0,71,0,0,0.0,
0.01,7,0.2,0,71,0,0,0.0,
0.01,8,0.01,0,71,0,0,0.0,
0.01,8,0.0575,0,71,0,0,0.0,
0.01,8,0.105,0,71,0,0,0.0,
0.01,8,0.15250000000000002,0,71,0,0,0.0,
0.01,8,0.2,0,71,0,0,0.0,
0.01,9,0.01,0,71,0,0,0.0,
0.01,9,0.0575,0,71,0,0,0.0,
0.01,9,0.105,0,71,0,0,0.0,
0.01,9,0.15250000000000002,0,71,0,0,0.0,
0.01,9,0.2,0,71,0,0,0.0,
0.01,10,0.01,0,71,0,0,0.0,
0.01,10,0.0575,0,71,0,0,0.0,
0.01,10,0.105,0,71,0,0,0.0,
0.01,10,0.15250000000000002,0,71,0,0,0.0,
0.01,10,0.2,0,71,0,0,0.0,
0.020000000000000004,1,0.01,0,71,0,0,0.0,
0.020000000000000004,1,0.0575,0,71,0,0,0.0,
0.020000000000000004,1,0.105,0,71,0,0,0.0,
0.020000000000000004,1,0.15250000000000002,0,71,0,0,0.0,
0.020000000000000004,1,0.2,0,71,0,0,0.0,
0.020000000000000004,2,0.01,0,71,0,0,0.0,
0.020000000000000004,2,0.0575,0,71,0,0,0.0,
0.020000000000000004,2,0.105,0,71,0,0,0.0,
0.020000000000000004,2,0.15250000000000002,0,71,0,0,0.0,
0.020000000000000004,2,0.2,0,71,0,0,0.0,
