strategy_id,classification,recommended_lifecycle_status,recommended_replay_display_semantics,evidence_files,canonical_or_successor_strategy_id,risk_flags,recommended_next_action
539_3bet_orthogonal,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
H001,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive in research logs; exclude from replay denominator.
H002,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive in research logs; exclude from replay denominator.
H003,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive in research logs; exclude from replay denominator.
H004,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive in research logs; exclude from replay denominator.
H005,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive in research logs; exclude from replay denominator.
H006,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive in research logs; exclude from replay denominator.
H007,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive in research logs; exclude from replay denominator.
H008,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive in research logs; exclude from replay denominator.
acb_extremecol_2bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
acb_hot_fourier_3bet_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
acb_lag_echo_2bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
acb_markov_extremecol_3bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
acb_single_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
apriori_3bet_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
bandit_ucb1_2bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
bet2_fourier_expansion_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
biglotto_6bet_zone_residual,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
cluster_pivot_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
cold_burst_3bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
cold_complement_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
coldpool15_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
condfourier_3bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
conditional_fourier_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
consecutive_pair_detector_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
core_satellite_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
ewma_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
extreme_col_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
extremecol_1bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
fourier30_markov30_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
fourier_rhythm_3bet,NEEDS_OPERATOR_DECISION,UNKNOWN,UNKNOWN,outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,was_live_no_tombstone;no_registry_entry,"Operator must determine: (A) renamed to a canonical strategy, (B) retired without registry entry (→ add tombstone), or (C) false positive in p2 dry run. Then classify as PRODUCT_DENOMINATOR or RESEARCH_ARCHIVE."
fourier_w100_pp3_power,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
gap_dynamic_threshold_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
gap_rebound_powerlotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
habit_aware_fourier_v8_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
hot_gap_return_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
hot_stop_rebound_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
hot_streak_override_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
lag_echo_1bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
lag_echo_acb_markov_3bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
lift_pair_single_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
mab_ucb1_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
markov_1bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
markov_2bet_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
markov_repeat_exception_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
markov_single_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
midfreq_extremecol_2bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
momentum_regime_switching_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
multiwindow_fourier_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
neighbor_acb_2bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
neighbor_injection_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
p0_neighbor_injection,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Archive; exclude from replay denominator.
p0b_539_3bet_f_cold_fmid,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json;outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,,Archive; exclude from replay denominator.
p0c_539_3bet_f_cold_x2,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive; exclude from replay denominator.
p1_conditional_branch_powerlotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
p2_mab_fusion,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive; exclude from replay denominator.
p3_state_aware,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive; exclude from replay denominator.
power_echo_boost,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
power_pp3v2_combined,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
power_z3gap_watch,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
sgp_power_017_research,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive; exclude from replay denominator.
sgp_v9_apex_powerlotto,RESEARCH_ARCHIVE,N/A,N/A,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Archive; exclude from replay denominator.
shlc_midfreq_power,DUPLICATE_OR_SUPERSEDED,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,power_shlc_midfreq,naming_convention_inconsistency,Confirm duplicate with registry; exclude from denominator (already counted via canonical power_shlc_midfreq).
short_term_hot_independent_bet,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
special_mab_decay_adjustment_power,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
streak_boost_neighbor_bet1,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
structural_zone_guard_pp3_power,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
ts3_acb_4bet_biglotto,DUPLICATE_OR_SUPERSEDED,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,biglotto_ts3_acb_4bet,naming_convention_inconsistency,Confirm duplicate with registry; exclude from denominator (already counted via canonical biglotto_ts3_acb_4bet).
ts3_markov_freq_5bet_biglotto,DUPLICATE_OR_SUPERSEDED,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,biglotto_ts3_markov_freq_5bet,naming_convention_inconsistency,Confirm duplicate with registry; exclude from denominator (already counted via canonical biglotto_ts3_markov_freq_5bet).
ts3_regime_3bet,NEEDS_OPERATOR_DECISION,UNKNOWN,UNKNOWN,outputs/replay/p2_lifecycle_backfill_dry_run_manifest_20260510.json,,was_live_no_tombstone;no_registry_entry;possible_ts3_variant,"Operator must determine: (A) merged into canonical ts3 strategy, (B) retired without registry entry (→ add tombstone), or (C) false positive in p2 dry run. Then classify as PRODUCT_DENOMINATOR or DUPLICATE_OR_SUPERSEDED."
zone_cascade_guard_biglotto,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
zone_constraint_cold_bet2,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
zone_gap_3bet_539,PRODUCT_DENOMINATOR,REJECTED,FROZEN,outputs/replay/p1_strategy_lifecycle_inventory_20260511.json,,,Add to registry as REJECTED when P1.2 registry proposal is created.
