base_strategy_id,effective_strategy_id,strategy_name,governance_status,ranking_group,constructor_name,constructor_version,expected_common_portfolios,completed_common_portfolios,completion_ratio,unique_target_draws,replicates,m4plus_draw_hits,m4plus_draw_rate,m4plus_ci95_low,m4plus_ci95_high,confidence_method,baseline_difference,baseline_difference_ci95_low,baseline_difference_ci95_high,replicate_rate_mean,replicate_rate_sd,native_ticket_count_mean,constructed_ticket_count_mean,native_ticket_share_mean,native_m4plus_draw_hits,native_m4plus_draw_rate,construction_tier_counts,total_ticket_evaluations,expected_available_portfolios,completed_available_portfolios,available_completion_ratio,formerly_partial
history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,zone_split,candidate,native,strategy_preserving_20_ticket,v1,20250,20250,1.0,2025,10,314,0.015506172839506173,0.01071604938271605,0.020888888888888905,draw-cluster bootstrap percentile,-0.004839506172839508,-0.01007407407407408,0.0004938271604938211,0.015506172839506172,0.0010405583953434795,20.0,0.0,1.0,314,0.015506172839506173,"{""native_complete"": 20250}",405000,21250,21250,1.0,False
history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,core_satellite,candidate,native,strategy_preserving_20_ticket,v1,20250,20235,0.9992592592592593,2025,10,360,0.017790956263899184,0.016005486968450014,0.019610425240054997,draw-cluster bootstrap percentile,-0.0025569272976680387,-0.005272976680384079,1.0973936899863555e-05,0.017791402052232258,0.0031296464251412415,20.0,0.0,1.0,360,0.017790956263899184,"{""native_complete"": 20235}",404700,21250,21250,1.0,False
history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,social_wisdom_predictor,candidate,adapter,strategy_preserving_20_ticket,v1,20250,20250,1.0,2025,10,401,0.01980246913580247,0.017925925925926005,0.02177777777777793,draw-cluster bootstrap percentile,-0.0005432098765432099,-0.003308641975308641,0.0020246913580246927,0.01980246913580247,0.0034102689719742313,8.0,12.0,0.4,167,0.008246913580246913,"{""native_ticket_derived_signal"": 20250}",405000,21240,21240,1.0,True
registry::biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,大樂透 Triple Strike,accepted,adapter,strategy_preserving_20_ticket,v1,2025,2025,1.0,2025,1,41,0.020246913580246915,0.01495972940380513,0.027350850581380728,Wilson score,-9.876543209876643e-05,-0.006419753086419711,0.006567901234567954,0.020246913580246915,0.0,3.0,17.0,0.15,6,0.002962962962962963,"{""native_ticket_derived_signal"": 2025}",40500,2025,2025,1.0,True
registry::biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,大樂透 Deviation 2注,accepted,adapter,strategy_preserving_20_ticket,v1,2025,2025,1.0,2025,1,32,0.01580246913580247,0.011215764406488618,0.022222757132857478,Wilson score,-0.004543209876543212,-0.009679012345679045,0.0016296296296296542,0.01580246913580247,0.0,2.0,18.0,0.1,2,0.0009876543209876543,"{""native_ticket_derived_signal"": 2025}",40500,2025,2025,1.0,True
registry::ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,大樂透 TS3+Regime 3注,accepted,adapter,strategy_preserving_20_ticket,v1,2025,2025,1.0,2025,1,32,0.01580246913580247,0.011215764406488618,0.022222757132857478,Wilson score,-0.004543209876543212,-0.010320987654321014,0.001530864197530879,0.01580246913580247,0.0,3.0,17.0,0.15,4,0.0019753086419753087,"{""native_ticket_derived_signal"": 2025}",40500,2025,2025,1.0,True
registry::biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,大樂透 Echo Aware 3注,deprecated,adapter,strategy_preserving_20_ticket,v1,2025,2025,1.0,2025,1,43,0.02123456790123457,0.015802773711012012,0.02847937481769379,Wilson score,0.000888888888888888,-0.005333333333333285,0.007802469135802509,0.02123456790123457,0.0,3.0,17.0,0.15,8,0.003950617283950617,"{""native_ticket_derived_signal"": 2025}",40500,2025,2025,1.0,True
registry::biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,大樂透 TS3+Markov 4注 w30,deprecated,adapter,strategy_preserving_20_ticket,v1,2025,2025,1.0,2025,1,35,0.01728395061728395,0.012453757449751784,0.023942116904874227,Wilson score,-0.0030617283950617295,-0.008790123456790111,0.0032098765432098998,0.01728395061728395,0.0,4.0,16.0,0.2,7,0.0034567901234567903,"{""native_ticket_derived_signal"": 2025}",40500,2025,2025,1.0,True
registry::bet2_fourier_expansion_biglotto,registry::bet2_fourier_expansion_biglotto@sp20_v1,大樂透 Bet2 Fourier Expansion,rejected,adapter,strategy_preserving_20_ticket,v1,2025,2025,1.0,2025,1,33,0.016296296296296295,0.011627193628489685,0.02279711218261638,Wilson score,-0.0040493827160493845,-0.00967901234567902,0.0022222222222222144,0.016296296296296295,0.0,1.0,19.0,0.05,1,0.0004938271604938272,"{""native_ticket_derived_signal"": 2025}",40500,2075,2075,1.0,True
registry::cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,大樂透 Cold Complement,rejected,adapter,strategy_preserving_20_ticket,v1,2025,2025,1.0,2025,1,41,0.020246913580246915,0.01495972940380513,0.027350850581380728,Wilson score,-9.876543209876646e-05,-0.006320987654320936,0.006617283950617313,0.020246913580246915,0.0,1.0,19.0,0.05,1,0.0004938271604938272,"{""native_ticket_derived_signal"": 2025}",40500,2025,2025,1.0,True
