strategy_id,governance_status,failure_stage,reason_code,target_draw,replicate_id,detailed_reason
history::ai_lab/adapter.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/automl_biglotto/__init__.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/automl_biglotto/backtest_engine.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/automl_biglotto/config.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/automl_biglotto/main.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/automl_biglotto/portfolio_optimizer.py,rejected,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/automl_biglotto/report.py,rejected,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/attention_replay_predictor.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/automl_strategy_optimizer.py,rejected,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/benchmark_ai.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/benchmark_ai_zdp.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/benchmark_hybrid.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/benchmark_rl.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/benchmark_v3.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/export_data.py,unknown,preflight,DOCUMENT_ONLY,,,Committed classification says this is not an actual prediction method.
history::ai_lab/scripts/finetune_transformer.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/scripts/graph_predictor.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/high_prize_trend_optimizer.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/train_critic.py,candidate,preflight,UNKNOWN_FAILURE,,,Identity or transitive safety remains unknown; fail-closed.
history::ai_lab/scripts/train_hybrid.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/scripts/train_rl.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/scripts/train_v3.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::ai_lab/train_lotto_gpt.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/big649_measurement_export.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p219_external_method_diagnostic_sweep.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246_big_lotto_data_integrity_audit.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246b_big_lotto_taxonomy_correction.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246c_big_lotto_addon_impact_audit.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246d_big_lotto_addon_segregation_design.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246e_canonical_draw_helper_isolation.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246f_research_caller_canonicalization_sweep.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246g_remaining_big_lotto_caller_canonicalization.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246h_advanced_learning_scheduler_trace.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246i_big_lotto_population_assertion_cleanup.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246j_big_lotto_addon_isolation_closure.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p246k_canonical_big_lotto_nist_reaudit.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p247a_big_lotto_canonical_view_annotation_dryrun_plan.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p247c_big_lotto_view_post_apply_reconciliation.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p247d_big_lotto_canonical_view_consumer_adoption_audit.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p247e_get_canonical_draws_view_adoption.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p247f_big_lotto_analysis_tool_migration.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p247g_big_lotto_canonical_isolation_final_guard.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p248a_big_lotto_canonical_isolation_governance_closure.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p249a_post_isolation_roadmap_triage.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p249b_roadmap_current_state_row_label_sync.py,unknown,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
history::analysis/p250a_cross_lottery_strategy_replay_inventory.py,rejected,preflight,PARTIAL_IMPLEMENTATION,,,Committed classification cannot confirm a strategy identity.
