rank,strategy_id,effective_strategy_id,strategy_name,governance_status,independent_algorithm_id,equivalence_group,ranking_group,native_ticket_count,constructed_ticket_count,evaluated_draws,replicates,complete_portfolios,completion_rate,m4plus_hits,m4plus_rate,confidence_interval_95,paired_difference_vs_random,paired_interval_95,credible_random_advantage,runtime_seconds,total_ticket_evaluations,governance_note
1,biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,大樂透 Echo Aware 3注,RETIRED,biglotto_echo_aware_3bet,,adapter,3.0,17.0,2025,1,2025,1.0,43,0.02123456790123457,"[0.015802773711,0.028479374818]",0.000888888888888888,"[-0.005333333333,0.007802469136]",False,18.889814,40500,Historical comparison only; no promotion and no future-probability claim.
2,biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,大樂透 Triple Strike,ONLINE,biglotto_triple_strike,,adapter,3.0,17.0,2025,1,2025,1.0,41,0.020246913580246915,"[0.014959729404,0.027350850581]",-9.876543209876643e-05,"[-0.006419753086,0.006567901235]",False,18.661796,40500,Historical comparison only; no promotion and no future-probability claim.
3,cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,大樂透 Cold Complement,REJECTED,cold_complement_biglotto,,adapter,1.0,19.0,2025,1,2025,1.0,41,0.020246913580246915,"[0.014959729404,0.027350850581]",-9.876543209876646e-05,"[-0.006320987654,0.006617283951]",False,16.279883,40500,Historical comparison only; no promotion and no future-probability claim.
4,history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,social_wisdom_predictor,CANDIDATE,history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_family,adapter,8.0,12.0,2025,10,20250,1.0,401,0.01980246913580247,"[0.017925925926,0.021777777778]",-0.0005432098765432099,"[-0.003308641975,0.002024691358]",False,129.140422,405000,Historical comparison only; no promotion and no future-probability claim.
5,predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,Deterministic mixed 3-bet,UNKNOWN,predict_biglotto_mixed_3bet,,adapter,3.0,17.0,2025,1,2025,1.0,40,0.019753086419753086,"[0.014539567877,0.026785227837]",-0.0005925925925925936,"[-0.006716049383,0.005876543210]",False,16.960584,40500,Historical comparison only; no promotion and no future-probability claim.
6,coldpool15_biglotto,registry::coldpool15_biglotto@sp20_v1,大樂透 ColdPool-15,REJECTED,coldpool15_biglotto,,adapter,1.0,19.0,2025,1,2025,1.0,39,0.01925925925925926,"[0.014120356923,0.026218654519]",-0.0010864197530864206,"[-0.007111111111,0.005481481481]",False,16.242981,40500,Historical comparison only; no promotion and no future-probability claim.
7,markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,大樂透 Markov 2注,REJECTED,markov_2bet_biglotto,,adapter,1.0,19.0,2025,1,2025,1.0,38,0.018765432098765432,"[0.013702131710,0.025651095460]",-0.001580246913580248,"[-0.007604938272,0.004740740741]",False,17.496661,40500,Historical comparison only; no promotion and no future-probability claim.
8,predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,Echo-aware deviation 2-bet,UNKNOWN,predict_biglotto_echo_2bet,,adapter,2.0,18.0,2025,1,2025,1.0,36,0.017777777777777778,"[0.012868790714,0.024512867912]",-0.002567901234567902,"[-0.008395061728,0.003456790123]",False,18.916905,40500,Historical comparison only; no promotion and no future-probability claim.
9,biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,大樂透 TS3+Markov 4注 w30,RETIRED,biglotto_ts3_markov_4bet_w30,,adapter,4.0,16.0,2025,1,2025,1.0,35,0.01728395061728395,"[0.012453757450,0.023942116905]",-0.0030617283950617295,"[-0.008790123457,0.003209876543]",False,18.437088,40500,Historical comparison only; no promotion and no future-probability claim.
10,predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,Adaptive echo phase 2 (3-bet version),UNKNOWN,predict_biglotto_echo_phase2,,adapter,3.0,17.0,2025,1,2025,1.0,34,0.016790123456790124,"[0.012039875468,0.023370214615]",-0.0035555555555555566,"[-0.009530864198,0.002419753086]",False,24.96939,40500,Historical comparison only; no promotion and no future-probability claim.
