strategy_id,execution_strategy_id,effective_strategy_id,strategy_name,governance_status,independent_algorithm_id,alias_of,equivalence_group,terminal_disposition,ranking_group,strategy_replicates,minimum_history,nested_prefix_supported
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,acb_hot_fourier_3bet_biglotto,REJECTED,acb_hot_fourier_3bet_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
apriori_3bet_biglotto,apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,apriori_3bet_biglotto,REJECTED,apriori_3bet_biglotto,,,COMPLETE_ADAPTER_20,adapter,1,100,True
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto,registry::bet2_fourier_expansion_biglotto@sp20_v1,大樂透 Bet2 Fourier Expansion,REJECTED,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,,COMPLETE_ADAPTER_20,adapter,1,50,True
biglotto_10bet_combined,biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,Deleted combined orthogonal/P1 10-bet,DELETED,biglotto_10bet_combined,,,COMPLETE_ADAPTER_20,adapter,1,100,True
biglotto_5bet_orthogonal,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,Historical Big Lotto orthogonal 5-bet,UNKNOWN,biglotto_5bet_orthogonal,,,COMPLETE_ADAPTER_20,adapter,1,100,True
biglotto_deviation_2bet,registry::biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,大樂透 Deviation 2注,ONLINE,biglotto_deviation_2bet,,,COMPLETE_ADAPTER_20,adapter,1,100,True
biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,大樂透 Echo Aware 3注,RETIRED,biglotto_echo_aware_3bet,,,COMPLETE_ADAPTER_20,adapter,1,100,True
biglotto_p0_2bet,biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,Big Lotto P0 2-bet,UNKNOWN,biglotto_p0_2bet,,,COMPLETE_ADAPTER_20,adapter,1,50,True
biglotto_triple_strike,registry::biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,大樂透 Triple Strike,ONLINE,biglotto_triple_strike,,,COMPLETE_ADAPTER_20,adapter,1,100,True
biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,大樂透 TS3+ACB 4注,REJECTED,biglotto_ts3_acb_4bet,,ts3_acb_aliases,COMPLETE_ADAPTER_20,adapter,1,100,True
