strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,acb_hot_fourier_3bet_biglotto,,10,20,2025,2025,9,0.0044444444444444444,"[0.002340008962,0.008425474327]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.005530864197530865,"[-0.008543209877,-0.002123456790]",0.9998537458901076
apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,apriori_3bet_biglotto,,10,20,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.003555555555555556,"[-0.007259259259,0.000345679012]",0.9701055302904081
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,10,20,2025,2025,15,0.007407407407407408,"[0.004494137788,0.012186051132]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0025679012345679016,"[-0.006320987654,0.001629629630]",0.8999253739817202
biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,biglotto_10bet_combined,,10,20,2025,2025,20,0.009876543209876543,"[0.006402623495,0.015206486783]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-9.876543209876595e-05,"[-0.004345679012,0.004592592593]",0.5252915270351052
biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,biglotto_5bet_orthogonal,,10,20,2025,2025,18,0.008888888888888889,"[0.005630033635,0.014007508100]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0010864197530864202,"[-0.005086419753,0.003654320988]",0.6941540550416703
biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,biglotto_deviation_2bet,,10,20,2025,2025,16,0.007901234567901235,"[0.004869358197,0.012796614994]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.0020740740740740745,"[-0.005925925926,0.002074074074]",0.845964727626037
biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,biglotto_echo_aware_3bet,,10,20,2025,2025,23,0.011358024691358024,"[0.007580326796,0.016986136297]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0013827160493827156,"[-0.003456790123,0.006370370370]",0.2958169482620725
biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,biglotto_p0_2bet,,10,20,2025,2025,12,0.005925925925925926,"[0.003393140346,0.010329695758]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-0.004049382716049384,"[-0.007555555556,-0.000296296296]",0.987173699772318
biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,biglotto_triple_strike,,10,20,2025,2025,23,0.011358024691358024,"[0.007580326796,0.016986136297]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0013827160493827156,"[-0.003209876543,0.006370370370]",0.2958103761637766
biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,biglotto_ts3_acb_4bet,ts3_acb_aliases,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003506172840,0.005925925926]",0.36577562174437556
biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,biglotto_ts3_markov_4bet_w30,,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003851851852,0.005679012346]",0.36577562174437556
biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,10,20,2025,2025,20,0.009876543209876543,"[0.006402623495,0.015206486783]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",-9.876543209876598e-05,"[-0.004493827160,0.004790123457]",0.5250647292582212
cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,cluster_pivot_biglotto,,10,20,2025,2025,22,0.010864197530864197,"[0.007185472653,0.016395206169]",202,0.009975308641975308,"[0.008592592593,0.011407407407]",0.0008888888888888884,"[-0.003555555556,0.005580246914]",0.3646931776283801
