confirmatory_family_id,strategy_id,independent_algorithm_id,equivalence_group,ticket_count,raw_p_value,bonferroni_adjusted_p_value,bh_fdr_adjusted_p_value,paired_interval_95,credible_advantage_unadjusted,credible_advantage_adjusted,confirmatory_rule
acb_hot_fourier_3bet_biglotto|ticket_count=10,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto,,10,0.13609809449573165,1.0,0.998102049628845,"[-0.001975308642,0.008543209877]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
acb_hot_fourier_3bet_biglotto|ticket_count=15,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto,,15,0.5068761777557289,1.0,0.998102049628845,"[-0.005629629630,0.005580246914]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
acb_hot_fourier_3bet_biglotto|ticket_count=20,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto,,20,0.8026500739953157,1.0,0.998102049628845,"[-0.008592592593,0.003654320988]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
apriori_3bet_biglotto|ticket_count=10,apriori_3bet_biglotto,apriori_3bet_biglotto,,10,0.9830423661699198,1.0,0.998102049628845,"[-0.007456790123,0.000049382716]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
apriori_3bet_biglotto|ticket_count=15,apriori_3bet_biglotto,apriori_3bet_biglotto,,15,0.9901325371190466,1.0,0.998102049628845,"[-0.010123456790,-0.000839506173]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
apriori_3bet_biglotto|ticket_count=20,apriori_3bet_biglotto,apriori_3bet_biglotto,,20,0.9975518631272938,1.0,0.998102049628845,"[-0.012395061728,-0.001827160494]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
bet2_fourier_expansion_biglotto@p42_p280_frozen_code|ticket_count=10,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,10,0.7549715287697556,1.0,0.998102049628845,"[-0.005580246914,0.003111111111]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
bet2_fourier_expansion_biglotto@p42_p280_frozen_code|ticket_count=15,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,15,0.6442478989660684,1.0,0.998102049628845,"[-0.006123456790,0.004691358025]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
bet2_fourier_expansion_biglotto@p42_p280_frozen_code|ticket_count=20,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,20,0.9166918901421874,1.0,0.998102049628845,"[-0.009679012346,0.002222222222]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
biglotto_10bet_combined|ticket_count=10,biglotto_10bet_combined,biglotto_10bet_combined,,10,0.8838473090229857,1.0,0.998102049628845,"[-0.006567901235,0.001777777778]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
biglotto_10bet_combined|ticket_count=15,biglotto_10bet_combined,biglotto_10bet_combined,,15,0.7105035592859645,1.0,0.998102049628845,"[-0.006962962963,0.003950617284]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
biglotto_10bet_combined|ticket_count=20,biglotto_10bet_combined,biglotto_10bet_combined,,20,0.7984231688761875,1.0,0.998102049628845,"[-0.008395061728,0.003851851852]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
biglotto_5bet_orthogonal|ticket_count=10,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal,,10,0.9297972660504097,1.0,0.998102049628845,"[-0.006765432099,0.001086419753]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
biglotto_5bet_orthogonal|ticket_count=15,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal,,15,0.8769663339682121,1.0,0.998102049628845,"[-0.007802469136,0.002469135802]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
biglotto_5bet_orthogonal|ticket_count=20,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal,,20,0.9155053281516705,1.0,0.998102049628845,"[-0.009679012346,0.002123456790]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
biglotto_deviation_2bet|ticket_count=10,biglotto_deviation_2bet,biglotto_deviation_2bet,,10,0.8851651362956934,1.0,0.998102049628845,"[-0.006320987654,0.001925925926]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
biglotto_deviation_2bet|ticket_count=15,biglotto_deviation_2bet,biglotto_deviation_2bet,,15,0.8778365366868242,1.0,0.998102049628845,"[-0.007555555556,0.001975308642]",False,False,"unique independent_algorithm_id x ticket_count across the frozen 30-strategy universe and ticket counts 10,15,20; one-sided exact draw-cluster sign-flip p-values; credible adjusted advantage requires paired CI lower bound > 0 and Bonferroni-adjusted p < 0.05; BH-FDR is reported as a secondary adjustment"
