strategy_id,effective_strategy_id,metric_parity,portfolio_hash_parity,portfolio_parity_method,upstream_normalized_detail_digest,p20u_normalized_detail_digest,evaluated_draws,m4plus_hits,m4plus_rate,paired_difference_vs_random,failed_metric_checks,status
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,1b0d5dac34bc1918bd6c45dda66f32c95558ad59ec80d35432eb247e7c2cd70f,1b0d5dac34bc1918bd6c45dda66f32c95558ad59ec80d35432eb247e7c2cd70f,2025,36,0.017777777777777778,-0.002567901234567902,,PASS
apriori_3bet_biglotto,apriori_3bet_biglotto@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,c1c96c581413b513dcc52cb0f309afce7875750682463a6cbf24d7489ab49c87,c1c96c581413b513dcc52cb0f309afce7875750682463a6cbf24d7489ab49c87,2025,26,0.012839506172839505,-0.007506172839506174,,PASS
bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,99fd7dfcd92e032e9cbf0f2b1270b46e805146cb995590052caf2d6d0a81f320,2025,33,0.016296296296296295,-0.0040493827160493845,,PASS
biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,7165f8b09dcf71a8fe4a835600b16b1493e0186f3fa41be64c01011a394875ae,7165f8b09dcf71a8fe4a835600b16b1493e0186f3fa41be64c01011a394875ae,2025,36,0.017777777777777778,-0.002567901234567902,,PASS
biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,52e15fe890947949656f78053b076fe96bcc1ccb3ddd94266fe6133b25aea45b,52e15fe890947949656f78053b076fe96bcc1ccb3ddd94266fe6133b25aea45b,2025,33,0.016296296296296295,-0.0040493827160493845,,PASS
biglotto_deviation_2bet,registry::biglotto_deviation_2bet@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,146feb3f2114042aad303e9d7efa6b816562f95380241f41536891447daa8f50,2025,32,0.01580246913580247,-0.004543209876543212,,PASS
biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,ba420806a98ea829d56f868ee6950920323463e4e30a108d73be6b6f71b6e284,2025,43,0.02123456790123457,0.000888888888888888,,PASS
biglotto_p0_2bet,biglotto_p0_2bet@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,5024275b84c9f1845d714e23e1abb689dc5523a622b7e7c7784c7520b1a5200f,2025,26,0.012839506172839505,-0.007506172839506174,,PASS
biglotto_triple_strike,registry::biglotto_triple_strike@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,23e7e294c3a3e63b4569301a16167ff9c806736ecc2a86a4531deeab77171923,2025,41,0.020246913580246915,-9.876543209876643e-05,,PASS
biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,899ceb96d4728da9be433e13ac600ae4c45fbfca9d7c49d1e7100dfb592aded6,899ceb96d4728da9be433e13ac600ae4c45fbfca9d7c49d1e7100dfb592aded6,2025,48,0.023703703703703703,0.0033580246913580236,,PASS
biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,4e06e248d2721c3305faa7143c42beb07115d5728e75b4d84351e33114d316da,2025,35,0.01728395061728395,-0.0030617283950617295,,PASS
biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,edea1bf2d2a319ae014ac832e1965e073ac339059da10947831b5265b2ebfb67,edea1bf2d2a319ae014ac832e1965e073ac339059da10947831b5265b2ebfb67,2025,42,0.02074074074074074,0.0003950617283950607,,PASS
cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,52f21233c6ce6e89a0c0b58a92f3e591bf22b3fa249875c8936eb47dd838df61,52f21233c6ce6e89a0c0b58a92f3e591bf22b3fa249875c8936eb47dd838df61,2025,37,0.018271604938271607,-0.002074074074074075,,PASS
cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,7a67b45978c8d1831fd0ab63842aca034e2d4e4b6c7ec343a368819ad67a6273,2025,41,0.020246913580246915,-9.876543209876646e-05,,PASS
coldpool15_biglotto,registry::coldpool15_biglotto@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,ac69b2fd9771922dcb63e0055d3d0617e622c8782dfc97fec470597314426a14,2025,39,0.01925925925925926,-0.0010864197530864206,,PASS
fourier30_markov30_biglotto,registry::fourier30_markov30_biglotto@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,779cf0f2c1033fcf8e723a4e78aa495a9c1e19c1b10a8cd9c74b7a026e06a2b9,2025,31,0.015308641975308642,-0.005037037037037039,,PASS
gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,4b5bc099f8b733527aa8369e3108c167be0a08f8344ba242012f1292cfe5070c,4b5bc099f8b733527aa8369e3108c167be0a08f8344ba242012f1292cfe5070c,2025,34,0.016790123456790124,-0.0035555555555555566,,PASS
history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,354c02a6aaf2767bd94e3db1a9ff231e4cfd0803b014432346dea4f66a3a39fc,2025,360,0.017790956263899184,-0.0025569272976680387,,PASS
history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,f21c9263ae6f28b33e0d5c69aa91a9d052afc415d7bf8d9fdd10c1ddfeca0780,2025,401,0.01980246913580247,-0.0005432098765432099,,PASS
history::lottery_api/models/zone_split.py,history::lottery_api/models/zone_split.py,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,e2e76277c162cabdaf737e0d8e280884268facbbd1097d9e8d65156c7a14345b,2025,314,0.015506172839506173,-0.004839506172839508,,PASS
hot_stop_rebound_biglotto,hot_stop_rebound_biglotto@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,29251817db49636cf79518849ce90d1c50ae7597b7e409d625e768cfcf68eaee,29251817db49636cf79518849ce90d1c50ae7597b7e409d625e768cfcf68eaee,2025,31,0.015308641975308642,-0.005037037037037039,,PASS
markov_2bet_biglotto,registry::markov_2bet_biglotto@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,77a04d2d7d51d340cefcd3458a24fdaedafd8392b359af27d142513d38dafa46,2025,38,0.018765432098765432,-0.001580246913580248,,PASS
markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,0dd0fbd13b8fa374c146b5f342a1240bb99be3bc957d7123349d9fe3274cf745,0dd0fbd13b8fa374c146b5f342a1240bb99be3bc957d7123349d9fe3274cf745,2025,37,0.018271604938271607,-0.002074074074074075,,PASS
markov_single_biglotto,registry::markov_single_biglotto@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,3523da34111debbcba79744de21e006aa71e145720a235d3e031f3b89da2b9a8,2025,31,0.015308641975308642,-0.005037037037037039,,PASS
neighbor_injection_biglotto,neighbor_injection_biglotto@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,f7b03c289f50cf340b35f6bee79b849b2c4c445cfe181c76d92b9207a688edad,f7b03c289f50cf340b35f6bee79b849b2c4c445cfe181c76d92b9207a688edad,2025,26,0.012839506172839505,-0.007506172839506174,,PASS
predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,704aad3c889dcaf4004d7f135b14505b11125752d2019da053a1877972eef750,2025,36,0.017777777777777778,-0.002567901234567902,,PASS
predict_biglotto_echo_phase2,predict_biglotto_echo_phase2@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,45455e986485a972a2464ad4e58b04477281ab9d9b9ed637e4e6723208c34587,2025,34,0.016790123456790124,-0.0035555555555555566,,PASS
predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,b699a786d45006a9046e5e95a01006d83e40dfa234dd3bf68dad5e0a29d17ff8,2025,40,0.019753086419753086,-0.0005925925925925936,,PASS
predict_biglotto_regime,predict_biglotto_regime@sp20_v1,PASS,PASS,DIRECT_P20T_NORMALIZED_DETAIL_DIGEST,1f984672e1582b2acd269ca06d7c8745543e730455bb1efc6abe08dd8c12c4f2,1f984672e1582b2acd269ca06d7c8745543e730455bb1efc6abe08dd8c12c4f2,2025,40,0.019753086419753086,-0.0005925925925925936,,PASS
ts3_regime_3bet,registry::ts3_regime_3bet@sp20_v1,PASS,PASS,P20T_VERIFIED_P20S_SOURCE_BINDING_PLUS_DETERMINISTIC_REEXECUTION,,65b0d00936745e47565de42925e23e8920c2fb0736d7d28ad45f7645d7e1e39f,2025,32,0.01580246913580247,-0.004543209876543212,,PASS
