rank,strategy_id,effective_strategy_id,governance_status,independent_algorithm_id,equivalence_group,ticket_count,evaluated_draws,common_window_draws,strategy_replicates,complete_portfolios,completion_rate,m4plus_hits,m4plus_rate,m4plus_confidence_interval_95,confidence_method,random_m4plus_hits,random_m4plus_rate,random_confidence_interval_95,paired_difference_vs_random,paired_difference_interval_95,paired_p_value,multiplicity_adjusted_p_value,bh_fdr_adjusted_p_value,credible_advantage_unadjusted,credible_advantage_adjusted,runtime_seconds
1,acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto@sp20_v1,REJECTED,acb_hot_fourier_3bet_biglotto,,10,2025,2025,1,2025,1.0,27,0.013333333333333334,"[0.009179550668,0.019330049512]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",0.0029629629629629624,"[-0.001975308642,0.008543209877]",0.13609809449573165,1.0,0.998102049628845,False,False,27.405342
2,biglotto_ts3_acb_4bet,biglotto_ts3_acb_4bet@sp20_v1,REJECTED,biglotto_ts3_acb_4bet,ts3_acb_aliases,10,2025,2025,1,2025,1.0,26,0.012839506172839505,"[0.008776997886,0.018746818023]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",0.0024691358024691353,"[-0.002518518519,0.007950617284]",0.17948740923304904,1.0,0.998102049628845,False,False,25.251622
3,biglotto_ts3_markov_freq_5bet,biglotto_ts3_markov_freq_5bet@sp20_v1,REJECTED,biglotto_ts3_markov_freq_5bet,ts3_markov_freq_aliases,10,2025,2025,1,2025,1.0,22,0.010864197530864197,"[0.007185472653,0.016395206169]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",0.0004938271604938266,"[-0.003950617284,0.005481481481]",0.4277848219682002,1.0,0.998102049628845,False,False,29.887318
4,predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,UNKNOWN,predict_biglotto_mixed_3bet,,10,2025,2025,1,2025,1.0,22,0.010864197530864197,"[0.007185472653,0.016395206169]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",0.0004938271604938266,"[-0.003950617284,0.005580246914]",0.4277848219682003,1.0,0.998102049628845,False,False,17.470179
5,history::lottery_api/models/social_wisdom_predictor.py,history::lottery_api/models/social_wisdom_predictor.py@sp20_v1,CANDIDATE,history::lottery_api/models/social_wisdom_predictor.py,social_wisdom_family,10,2025,2025,10,20250,1.0,203,0.010024691358024692,"[0.008592592593,0.011506172840]",draw-cluster bootstrap percentile,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.00034567901234567905,"[-0.002320987654,0.001629629630]",0.654432158102811,1.0,0.998102049628845,False,False,131.771384
6,biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,RETIRED,biglotto_echo_aware_3bet,,10,2025,2025,1,2025,1.0,20,0.009876543209876543,"[0.006402623495,0.015206486783]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0004938271604938277,"[-0.004938271605,0.004395061728]",0.5922185478742847,1.0,0.998102049628845,False,False,22.875582
7,coldpool15_biglotto,registry::coldpool15_biglotto@sp20_v1,REJECTED,coldpool15_biglotto,,10,2025,2025,1,2025,1.0,20,0.009876543209876543,"[0.006402623495,0.015206486783]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0004938271604938277,"[-0.004938271605,0.004296296296]",0.5922185478742847,1.0,0.998102049628845,False,False,21.413272
8,markov_repeat_exception_biglotto,markov_repeat_exception_biglotto@sp20_v1,REJECTED,markov_repeat_exception_biglotto,,10,2025,2025,1,2025,1.0,20,0.009876543209876543,"[0.006402623495,0.015206486783]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0004938271604938277,"[-0.005086419753,0.004444444444]",0.5918064361218929,1.0,0.998102049628845,False,False,21.947737
9,history::lottery_api/models/core_satellite.py,history::lottery_api/models/core_satellite.py,CANDIDATE,history::lottery_api/models/core_satellite.py,core_satellite_family,10,2025,2025,10,20235,0.9992592592592593,195,0.009636767976278725,"[0.008301783265,0.011023319616]",draw-cluster bootstrap percentile,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0007352537722908094,"[-0.002666666667,0.001141289438]",0.7749895829998381,1.0,0.998102049628845,False,False,8.405288
10,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,REJECTED,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,10,2025,2025,1,2025,1.0,18,0.008888888888888889,"[0.005630033635,0.014007508100]",Wilson score,210,0.01037037037037037,"[0.008938271605,0.011703703704]",-0.0014814814814814818,"[-0.005580246914,0.003111111111]",0.7549715287697556,1.0,0.998102049628845,False,False,22.501476
