rank,strategy_id,effective_strategy_id,independent_algorithm_id,equivalence_group,from_ticket_count,to_ticket_count,evaluated_draws,complete_portfolios,incremental_m4plus_hits,incremental_m4plus_rate,incremental_interval_95,random_incremental_m4plus_hits,random_incremental_m4plus_rate,random_incremental_interval_95,incremental_difference_vs_random,incremental_difference_interval_95,paired_p_value
1,cluster_pivot_biglotto,cluster_pivot_biglotto@sp20_v1,cluster_pivot_biglotto,,10,15,2025,2025,14,0.006913580246913581,"[0.004122756912,0.011571647736]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0019753086419753083,"[-0.001333333333,0.005925925926]",0.15707303261607733
2,cold_complement_biglotto,registry::cold_complement_biglotto@sp20_v1,cold_complement_biglotto,,10,15,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0014814814814814812,"[-0.001876543210,0.005234567901]",0.22148093980860034
3,predict_biglotto_regime,predict_biglotto_regime@sp20_v1,predict_biglotto_regime,,10,15,2025,2025,13,0.006419753086419753,"[0.003755604476,0.010953015900]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0014814814814814812,"[-0.001876543210,0.005234567901]",0.22148093980860034
4,biglotto_10bet_combined,biglotto_10bet_combined@sp20_v1,biglotto_10bet_combined,,10,15,2025,2025,12,0.005925925925925926,"[0.003393140346,0.010329695758]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0009876543209876541,"[-0.002222222222,0.004691358025]",0.3014781411883245
5,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,registry::bet2_fourier_expansion_biglotto@sp20_v1,bet2_fourier_expansion_biglotto@p42_p280_frozen_code,,10,15,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0004938271604938268,"[-0.002617283951,0.004000000000]",0.39910503764410393
6,biglotto_ts3_markov_4bet_w30,registry::biglotto_ts3_markov_4bet_w30@sp20_v1,biglotto_ts3_markov_4bet_w30,,10,15,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0004938271604938268,"[-0.002666666667,0.004296296296]",0.39995854172445494
7,predict_biglotto_echo_2bet,predict_biglotto_echo_2bet@sp20_v1,predict_biglotto_echo_2bet,,10,15,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0004938271604938268,"[-0.002617283951,0.003901234568]",0.399105037644104
8,predict_biglotto_mixed_3bet,predict_biglotto_mixed_3bet@sp20_v1,predict_biglotto_mixed_3bet,,10,15,2025,2025,11,0.005432098765432099,"[0.003035914935,0.009701136898]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",0.0004938271604938268,"[-0.002370370370,0.004000000000]",0.39910503764410404
9,biglotto_5bet_orthogonal,biglotto_5bet_orthogonal@sp20_v1,biglotto_5bet_orthogonal,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.002814814815,0.003506172840]",0.5119064624608943
10,biglotto_echo_aware_3bet,registry::biglotto_echo_aware_3bet@sp20_v1,biglotto_echo_aware_3bet,,10,15,2025,2025,10,0.0049382716049382715,"[0.002684596342,0.009066671218]",100,0.0049382716049382715,"[0.003950617284,0.005975308642]",-2.741291418827547e-19,"[-0.002913580247,0.003259259259]",0.5119064624608943
