lottery,strategy_id,window_segment,top_k,metric_family,sample_size_draws,sample_size_rows,m1_hits,m2_hits,m3_hits,m3plus_draw_successes,m1_rate,m2_rate,m3_rate,m3plus_hit_rate,baseline_mode,baseline_value,delta,delta_pp,inferential_status,readiness_status,eligibility_status,exclusion_reason,source_artifact
BIG_LOTTO,bet2_fourier_expansion_biglotto,recent_100,1,main_number_hit_count,100,100,56,16,5,5,0.56000000,0.16000000,0.05000000,0.05000000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,bet2_fourier_expansion_biglotto,recent_150,1,main_number_hit_count,150,150,85,23,6,6,0.56666667,0.15333333,0.04000000,0.04000000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,bet2_fourier_expansion_biglotto,recent_500,1,main_number_hit_count,500,500,276,69,14,14,0.55200000,0.13800000,0.02800000,0.02800000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,bet2_fourier_expansion_biglotto,recent_1500,1,main_number_hit_count,1500,1500,836,210,36,36,0.55733333,0.14000000,0.02400000,0.02400000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,bet2_fourier_expansion_biglotto,full_available,1,main_number_hit_count,1500,1500,836,210,36,36,0.55733333,0.14000000,0.02400000,0.02400000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_deviation_2bet,recent_100,2,main_number_hit_count,100,100,63,20,1,1,0.63000000,0.20000000,0.01000000,0.01000000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_deviation_2bet,recent_150,2,main_number_hit_count,150,150,97,32,2,2,0.64666667,0.21333333,0.01333333,0.01333333,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_deviation_2bet,recent_500,2,main_number_hit_count,500,500,296,101,17,17,0.59200000,0.20200000,0.03400000,0.03400000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_deviation_2bet,recent_1500,2,main_number_hit_count,1500,1500,868,231,36,36,0.57866667,0.15400000,0.02400000,0.02400000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_deviation_2bet,full_available,2,main_number_hit_count,1550,1570,911,240,37,37,0.58025478,0.15286624,0.02356688,0.02387097,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_echo_aware_3bet,recent_100,3,main_number_hit_count,100,300,164,42,5,5,0.54666667,0.14000000,0.01666667,0.05000000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_echo_aware_3bet,recent_150,3,main_number_hit_count,150,450,259,66,12,12,0.57555556,0.14666667,0.02666667,0.08000000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_echo_aware_3bet,recent_500,3,main_number_hit_count,500,1500,859,227,40,39,0.57266667,0.15133333,0.02666667,0.07800000,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
BIG_LOTTO,biglotto_echo_aware_3bet,recent_1500,3,main_number_hit_count,1500,4500,2539,722,98,97,0.56422222,0.16044444,0.02177778,0.06466667,not_computed,NULL,NULL,NULL,NULL_OR_NO_GO_RETROSPECTIVE_ONLY,RETROSPECTIVE_MATRIX_READY,ELIGIBLE_RETROSPECTIVE_ONLY,,immutable_sqlite:strategy_prediction_replays;P297A:strategy_inventory.csv
