lottery_type,window,combination_size,strategy_ids,sample_size_draws,sample_size_rows,rows_per_draw,ticket_budget_m,ticket_budget_ratio_vs_min,ticket_budget_ratio_vs_median,hit_at_least_1_rate,hit_at_least_2_rate,hit_at_least_3_rate,random_baseline_status,random_expected_hit_at_least_1_rate,random_expected_hit_at_least_2_rate,random_expected_hit_at_least_3_rate,descriptive_delta_vs_baseline_hit_at_least_1,descriptive_delta_vs_baseline_hit_at_least_2,descriptive_delta_vs_baseline_hit_at_least_3,equal_budget_status,equal_budget_method,equal_budget_hit_at_least_1_rate,equal_budget_hit_at_least_2_rate,equal_budget_hit_at_least_3_rate,inference_status,binom_p_hit_at_least_1_one_sided,binom_p_hit_at_least_2_one_sided,binom_p_hit_at_least_3_one_sided
BIG_LOTTO,recent_50,1,bet2_fourier_expansion_biglotto,50,50,1.000000,1,1.000000,0.333333,0.620000000000,0.220000000000,0.060000000000,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.564035024488,0.151015574004,0.018637545002,0.055964975512,0.068984425996,0.041362454998,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,2.574413e-01,1.242151e-01,6.647713e-02
BIG_LOTTO,recent_300,1,bet2_fourier_expansion_biglotto,300,300,1.000000,1,1.000000,0.333333,0.570000000000,0.123333333333,0.026666666667,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.564035024488,0.151015574004,0.018637545002,0.005964975512,-0.027682240671,0.008029121665,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,4.413058e-01,9.252644e-01,2.002329e-01
BIG_LOTTO,recent_750,1,bet2_fourier_expansion_biglotto,750,750,1.000000,1,1.000000,0.333333,0.560000000000,0.137333333333,0.025333333333,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.564035024488,0.151015574004,0.018637545002,-0.004035024488,-0.013682240671,0.006695788331,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,6.029922e-01,8.643835e-01,1.140642e-01
BIG_LOTTO,recent_50,1,biglotto_deviation_2bet,50,50,1.000000,1,1.000000,0.333333,0.640000000000,0.120000000000,0.020000000000,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.564035024488,0.151015574004,0.018637545002,0.075964975512,-0.031015574004,0.001362454998,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,1.736832e-01,7.863590e-01,6.096340e-01
BIG_LOTTO,recent_300,1,biglotto_deviation_2bet,300,300,1.000000,1,1.000000,0.333333,0.603333333333,0.206666666667,0.016666666667,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.564035024488,0.151015574004,0.018637545002,0.039298308845,0.055651092663,-0.001970878335,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,9.399842e-02,5.899366e-03,6.587999e-01
BIG_LOTTO,recent_750,1,biglotto_deviation_2bet,750,750,1.000000,1,1.000000,0.333333,0.586666666667,0.184000000000,0.030666666667,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.564035024488,0.151015574004,0.018637545002,0.022631642179,0.032984425996,0.012029121665,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,1.123980e-01,7.827233e-03,1.555876e-02
BIG_LOTTO,recent_50,1,biglotto_echo_aware_3bet,50,150,3.000000,3,3.000000,1.000000,0.980000000000,0.460000000000,0.060000000000,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.917138116441,0.388073627654,0.054877034657,0.062861883559,0.071926372346,0.005122965343,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,7.302522e-02,1.839259e-01,5.221430e-01
BIG_LOTTO,recent_300,1,biglotto_echo_aware_3bet,300,900,3.000000,3,3.000000,1.000000,0.940000000000,0.400000000000,0.083333333333,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.917138116441,0.388073627654,0.054877034657,0.022861883559,0.011926372346,0.028456298676,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,8.708384e-02,3.562848e-01,2.608170e-02
BIG_LOTTO,recent_750,1,biglotto_echo_aware_3bet,750,2250,3.000000,3,3.000000,1.000000,0.952000000000,0.432000000000,0.069333333333,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.917138116441,0.388073627654,0.054877034657,0.034861883559,0.043926372346,0.014456298676,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,1.370562e-04,7.783180e-03,5.242746e-02
BIG_LOTTO,recent_50,1,biglotto_triple_strike,50,50,1.000000,1,1.000000,0.333333,0.620000000000,0.220000000000,0.060000000000,COMPUTED_ANALYTIC_HYPERGEOMETRIC_MATCHED_BUDGET,0.564035024488,0.151015574004,0.018637545002,0.055964975512,0.068984425996,0.041362454998,INSUFFICIENT_RAW_DATA_FOR_ACTUAL_TICKET_SUBSAMPLING,MATCHED_BUDGET_ANALYTIC_RANDOM_REFERENCE,,,,RETROSPECTIVE_EXACT_BINOMIAL_VS_EQUAL_BUDGET_RANDOM_NULL_DESCRIPTIVE_SCREEN,2.574413e-01,1.242151e-01,6.647713e-02
