draw,repeats,neighbors,max_zone,date,rolling_repeats,rolling_neighbors,rolling_max_zone
96000002,0,2,3,2007-01-02,,,
96000003,0,0,3,2007-01-03,,,
96000004,1,1,2,2007-01-04,,,
96000005,1,0,3,2007-01-05,,,
96000006,1,3,3,2007-01-08,,,
96000007,1,1,2,2007-01-09,,,
96000008,1,0,4,2007-01-10,,,
96000009,0,1,3,2007-01-11,,,
96000010,0,2,3,2007-01-12,,,
96000011,0,2,3,2007-01-15,0.5,1.2,2.9
96000012,1,0,3,2007-01-16,0.6,1.0,2.9
96000013,1,2,2,2007-01-17,0.7,1.2,2.8
96000014,0,2,3,2007-01-18,0.6,1.3,2.9
96000015,1,2,2,2007-01-19,0.6,1.5,2.8
96000016,1,2,2,2007-01-22,0.6,1.4,2.7
96000017,1,0,2,2007-01-23,0.6,1.3,2.7
96000018,0,1,2,2007-01-24,0.5,1.4,2.5
96000019,0,2,3,2007-01-25,0.5,1.5,2.5
96000020,2,0,3,2007-01-26,0.7,1.3,2.5
96000021,1,2,3,2007-01-29,0.8,1.3,2.5
96000022,0,2,3,2007-01-30,0.7,1.5,2.5
96000023,1,1,2,2007-01-31,0.7,1.4,2.5
96000024,0,0,3,2007-02-01,0.7,1.2,2.5
96000025,0,2,3,2007-02-02,0.6,1.2,2.6
96000026,0,1,3,2007-02-05,0.5,1.1,2.7
96000027,0,1,2,2007-02-06,0.4,1.2,2.7
96000028,0,0,2,2007-02-07,0.4,1.1,2.7
96000029,0,2,3,2007-02-08,0.4,1.1,2.7
96000030,0,0,3,2007-02-09,0.2,1.1,2.7
96000031,1,1,3,2007-02-12,0.2,1.0,2.7
96000032,1,1,3,2007-02-13,0.3,0.9,2.7
96000033,1,3,3,2007-02-14,0.3,1.1,2.8
96000034,1,2,3,2007-02-15,0.4,1.3,2.8
96000035,2,3,4,2007-02-16,0.6,1.4,2.9
96000036,2,0,2,2007-02-19,0.8,1.3,2.8
96000037,0,1,2,2007-02-20,0.8,1.3,2.8
96000038,0,2,2,2007-02-21,0.8,1.5,2.8
96000039,1,3,3,2007-02-22,0.9,1.6,2.8
96000040,1,2,3,2007-02-23,1.0,1.8,2.8
